task,sample_id,n_spots_adata,n_patches,n_vars,X_dtype,X_int,X_max,img_shape,bc_example,technology,cohort_src,retention_pct
CCRCC,INT1,1084,1084,36601,float32,True,688.0,"(1084, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT10,1983,1983,36601,float32,True,5858.0,"(1983, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT11,1439,1439,36601,float32,True,3540.0,"(1439, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT12,1451,1451,36601,float32,True,5845.0,"(1451, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT13,4359,4359,17943,float32,True,4356.0,"(4359, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT14,4562,4562,17943,float32,True,328.0,"(4562, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT15,4940,4940,17943,float32,True,551.0,"(4940, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT16,3206,3206,17943,float32,True,354.0,"(3206, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT17,3585,3585,17943,float32,True,6861.0,"(3585, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT18,4915,4915,17943,float32,True,915.0,"(4915, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT19,4948,4948,17943,float32,True,282.0,"(4948, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT2,2580,2580,36601,float32,True,203.0,"(2580, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT20,4860,4860,17943,float32,True,778.0,"(4860, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT21,4975,4975,17943,float32,True,2199.0,"(4975, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT22,3829,3829,17943,float32,True,3851.0,"(3829, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT23,4755,4755,17943,float32,True,5200.0,"(4755, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT24,4510,4510,17943,float32,True,1543.0,"(4510, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT3,2007,2007,36601,float32,True,938.0,"(2007, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT4,1349,1349,36601,float32,True,427.0,"(1349, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT5,1186,1186,36601,float32,True,18438.0,"(1186, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT6,1678,1678,36601,float32,True,1300.0,"(1678, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT7,2374,2374,36601,float32,True,2032.0,"(2374, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT8,1949,1949,36601,float32,True,7118.0,"(1949, 224, 224, 3)",,Visium,INT,100.0
CCRCC,INT9,1696,1696,36601,float32,True,409.0,"(1696, 224, 224, 3)",,Visium,INT,100.0
