task,sample_id,n_spots,n_nuclei,spot_pitch_px,frac_assigned,spots_with_nuclei,classes
CCRCC,INT1,1084,37483,219.0,0.7544753621641811,1070,connective|epithelial|inflammatory|neoplastic
CCRCC,INT10,1983,75114,218.0,0.8542615224858215,1976,connective|epithelial|inflammatory|neoplastic
CCRCC,INT11,1439,42314,218.0,0.8890910809661106,1414,connective|epithelial|inflammatory|neoplastic
CCRCC,INT12,1451,76974,218.0022935659164,0.7839530230987086,1450,connective|epithelial|inflammatory|neoplastic
CCRCC,INT13,4359,128664,218.61346609840868,0.7184293975004663,4330,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT14,4562,273124,218.54500012039793,0.7328063443710549,4544,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT15,4940,156803,218.41103692350353,0.6141655453020669,4930,connective|epithelial|inflammatory|neoplastic
CCRCC,INT16,3206,49151,218.51300626429557,0.7894040813004822,3079,connective|epithelial|inflammatory|neoplastic
CCRCC,INT17,3585,197999,218.56402921112186,0.6926499628786004,3584,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT18,4915,162727,218.2937144726121,0.7252330590498196,4901,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT19,4948,201766,218.69616666965143,0.7114974772756559,4840,connective|epithelial|inflammatory|neoplastic
CCRCC,INT2,2580,94534,219.0,0.8877864048913618,2557,connective|epithelial|inflammatory|neoplastic
CCRCC,INT20,4860,23989,218.76584805366687,0.606861478177498,2655,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT21,4975,170183,218.65704124379272,0.6429431846894226,4948,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT22,3829,16805,218.57680712280614,0.5194882475453734,1979,connective|epithelial|inflammatory|neoplastic
CCRCC,INT23,4755,3687,218.5630224214518,0.7485760781122864,1246,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT24,4510,219747,218.64218057136168,0.5717666225249947,4388,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT3,2007,73671,218.0,0.8738173772583513,1981,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT4,1349,44373,218.0,0.7400446217294301,1262,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT5,1186,34706,218.0,0.8651241860197084,1151,connective|epithelial|inflammatory|neoplastic
CCRCC,INT6,1678,68689,219.0,0.8499468619429603,1665,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT7,2374,73790,218.0,0.8666079414554818,2372,connective|epithelial|inflammatory|neoplastic
CCRCC,INT8,1949,43637,218.0,0.8290212434401998,1906,connective|dead|epithelial|inflammatory|neoplastic
CCRCC,INT9,1696,56530,218.0,0.8365823456571732,1665,connective|epithelial|inflammatory|neoplastic
