task,sample_id,n_spots,n_nuclei,spot_pitch_px,frac_assigned,spots_with_nuclei,classes
COAD,TENX111,6138,438305,365.2237366424961,0.7102177707304275,5163,connective|dead|epithelial|inflammatory|neoplastic
COAD,TENX147,3997,1446561,400.4770323684934,0.13743561453682215,3447,connective|dead|epithelial|inflammatory|neoplastic
COAD,TENX148,4379,969418,365.282983395,0.2471225003043063,3574,connective|dead|epithelial|inflammatory|neoplastic
COAD,TENX149,4009,1109237,364.9223659004201,0.19618350271402776,3633,connective|dead|epithelial|inflammatory|neoplastic
PAAD,TENX116,3090,165017,730.5284739208582,0.7842040517037638,2114,connective|dead|epithelial|inflammatory|neoplastic
PAAD,TENX126,2190,125329,365.1098608497705,0.7025748230656911,1934,connective|dead|epithelial|inflammatory|neoplastic
PAAD,TENX140,4513,195759,365.2731718638188,0.7443948937213615,3532,connective|dead|epithelial|inflammatory|neoplastic
READ,ZEN36,1691,120280,217.69230106170468,0.8439807116727636,1690,connective|dead|epithelial|inflammatory|neoplastic
READ,ZEN40,2128,62041,217.46655812618684,0.8267436050353798,2090,connective|epithelial|inflammatory|neoplastic
READ,ZEN48,2385,180171,217.80300066344344,0.7194942582324569,2379,connective|epithelial|inflammatory|neoplastic
READ,ZEN49,2203,155359,217.56303533688816,0.7417272253297202,2200,connective|dead|epithelial|inflammatory|neoplastic
