task,encoder,split,dump_rows,rebuilt_rows,shape_match,max_abs_diff,exact,n_samples
IDC,resnet50,0,20761,20761,True,8.881784197001252e-16,True,1
IDC,resnet50,1,7760,7760,True,8.881784197001252e-16,True,1
IDC,resnet50,2,4010,4010,True,8.881784197001252e-16,True,1
IDC,resnet50,3,3005,3005,True,8.881784197001252e-16,True,1
PRAD,resnet50,0,25891,25891,True,4.404364215560008e-07,False,8
PRAD,resnet50,1,36819,36819,True,2.50992694184049e-07,False,15
CCRCC,phikon,0,18371,18371,True,2.2118520615066473e-07,False,4
CCRCC,phikon,1,6569,6569,True,2.358178647909881e-07,False,4
CCRCC,phikon,2,10756,10756,True,2.2118520615066473e-07,False,4
CCRCC,phikon,3,7122,7122,True,2.467587236765212e-07,False,4
CCRCC,phikon,4,14748,14748,True,1.2244155289664604e-07,False,4
CCRCC,phikon,5,16654,16654,True,2.3592571363195702e-07,False,4
SKCM,uni_v1,0,1293,1293,True,8.881784197001252e-16,True,1
SKCM,uni_v1,1,1741,1741,True,8.881784197001252e-16,True,1
