encoder,task,n_spots,n_samples,embed_dim,balanced_acc,accuracy,chance,lift,excess
conch_v15,CCRCC,74220,24,768,0.9751516242064163,0.980014371687775,0.041666666666666664,23.403638980953993,0.9334849575397497
conch_v15,COAD,15651,4,768,0.9816656724669002,0.9831771720613288,0.25,3.9266626898676007,0.7316656724669002
conch_v15,HCC,4196,2,768,0.9921322592598233,0.9920571882446386,0.5,1.9842645185196466,0.4921322592598233
conch_v15,IDC,35536,4,768,0.9944593914018682,0.9939030109745802,0.25,3.977837565607473,0.7444593914018682
conch_v15,LUNG,5206,2,768,0.9893807697496483,0.9910371318822023,0.5,1.9787615394992966,0.4893807697496483
conch_v15,LYMPH_IDC,19964,4,768,0.9697859177655769,0.9697829716193657,0.25,3.8791436710623075,0.7197859177655769
conch_v15,PAAD,7571,3,768,0.9884231439505893,0.988556338028169,0.3333333333333333,2.965269431851768,0.655089810617256
conch_v15,PRAD,62710,23,768,0.929405450107211,0.9339818210811672,0.043478260869565216,21.37632535246585,0.8859271892376458
conch_v15,READ,8407,4,768,0.9524230499220948,0.9508521601268332,0.25,3.8096921996883792,0.7024230499220948
conch_v15,SKCM,3034,2,768,0.9948872484279829,0.9945115257958288,0.5,1.9897744968559659,0.49488724842798293
uni_v1,CCRCC,74220,24,1024,0.9952018550457042,0.9968561932992006,0.041666666666666664,23.884844521096902,0.9535351883790376
uni_v1,COAD,15651,4,1024,0.9988381387307919,0.9989352640545145,0.25,3.9953525549231674,0.7488381387307919
uni_v1,HCC,4196,2,1024,0.9984023410335674,0.9984114376489277,0.5,1.9968046820671348,0.4984023410335674
uni_v1,IDC,35536,4,1024,0.9990616454455767,0.9985930025325954,0.25,3.996246581782307,0.7490616454455767
uni_v1,LUNG,5206,2,1024,0.9994892747701736,0.9993597951344431,0.5,1.9989785495403471,0.4994892747701736
uni_v1,LYMPH_IDC,19964,4,1024,0.9806359459671719,0.9806343906510852,0.25,3.9225437838686874,0.7306359459671719
uni_v1,PAAD,7571,3,1024,0.9974169001330943,0.9977992957746479,0.3333333333333333,2.992250700399283,0.6640835667997609
uni_v1,PRAD,62710,23,1024,0.9759351599031362,0.977728166693244,0.043478260869565216,22.446508677772133,0.932456899033571
uni_v1,READ,8407,4,1024,0.9862762053546525,0.9853349187475228,0.25,3.94510482141861,0.7362762053546525
uni_v1,SKCM,3034,2,1024,1.0,1.0,0.5,2.0,0.5
uni_v2,CCRCC,74220,24,1536,0.9949170467330871,0.9965867241534178,0.041666666666666664,23.878009121594094,0.9532503800664205
uni_v2,COAD,15651,4,1536,0.9988435629197236,0.9989352640545145,0.25,3.9953742516788946,0.7488435629197236
uni_v2,HCC,4196,2,1536,0.9991408934707904,0.9992057188244639,0.5,1.9982817869415808,0.4991408934707904
uni_v2,IDC,35536,4,1536,0.9996919051970151,0.9994372010130381,0.25,3.9987676207880605,0.7496919051970151
uni_v2,LUNG,5206,2,1536,0.9981209166072427,0.9980793854033291,0.5,1.9962418332144853,0.49812091660724267
uni_v2,LYMPH_IDC,19964,4,1536,0.9843088467332557,0.9843071786310518,0.25,3.9372353869330228,0.7343088467332557
uni_v2,PAAD,7571,3,1536,0.9979857283469737,0.9982394366197183,0.3333333333333333,2.9939571850409212,0.6646523950136405
uni_v2,PRAD,62710,23,1536,0.977438990124832,0.9789507255621113,0.043478260869565216,22.481096772871137,0.9339607292552669
uni_v2,READ,8407,4,1536,0.9963836636965764,0.9964328180737217,0.25,3.9855346547863055,0.7463836636965764
uni_v2,SKCM,3034,2,1536,1.0,1.0,0.5,2.0,0.5
