encoder,task,n_spots,n_samples,embed_dim,balanced_acc,accuracy,chance,lift,excess
resnet50,CCRCC,74220,24,1024,0.9688918601798028,0.9702236593909997,0.041666666666666664,23.253404644315268,0.9272251935131361
resnet50,COAD,15651,4,1024,0.994853901667255,0.9953151618398637,0.25,3.97941560666902,0.744853901667255
resnet50,HCC,4196,2,1024,0.9961866837218982,0.9960285941223193,0.5,1.9923733674437965,0.4961866837218982
resnet50,IDC,35536,4,1024,0.9959814209262082,0.9949348091173436,0.25,3.983925683704833,0.7459814209262082
resnet50,LUNG,5206,2,1024,0.9893807697496483,0.9910371318822023,0.5,1.9787615394992966,0.4893807697496483
resnet50,LYMPH_IDC,19964,4,1024,0.9626049973940298,0.9626043405676127,0.25,3.8504199895761193,0.7126049973940298
resnet50,PAAD,7571,3,1024,0.9894338714878929,0.9889964788732394,0.3333333333333333,2.968301614463679,0.6561005381545595
resnet50,PRAD,62710,23,1024,0.9350426533459892,0.9395099133577846,0.043478260869565216,21.505981026957752,0.891564392476424
resnet50,READ,8407,4,1024,0.9831249657443168,0.9829567974633373,0.25,3.9324998629772674,0.7331249657443168
resnet50,SKCM,3034,2,1024,1.0,1.0,0.5,2.0,0.5
ctranspath,CCRCC,74220,24,768,0.9884532939549221,0.9900296416060361,0.041666666666666664,23.72287905491813,0.9467866272882555
ctranspath,COAD,15651,4,768,0.9957798573924106,0.9961669505962522,0.25,3.9831194295696424,0.7457798573924106
ctranspath,HCC,4196,2,768,0.9991408934707904,0.9992057188244639,0.5,1.9982817869415808,0.4991408934707904
ctranspath,IDC,35536,4,768,0.997237078640526,0.9965294062470688,0.25,3.988948314562104,0.747237078640526
ctranspath,LUNG,5206,2,768,0.9979570990806945,0.9974391805377721,0.5,1.995914198161389,0.4979570990806945
ctranspath,LYMPH_IDC,19964,4,768,0.9731230321355389,0.9731218697829717,0.25,3.8924921285421554,0.7231230321355389
ctranspath,PAAD,7571,3,768,0.9953719192874827,0.9955985915492958,0.3333333333333333,2.986115757862448,0.6620385859541493
ctranspath,PRAD,62710,23,768,0.9602080141928971,0.9628448413331208,0.043478260869565216,22.084784326436633,0.916729753323332
ctranspath,READ,8407,4,768,0.970956909509085,0.9694807768529529,0.25,3.88382763803634,0.720956909509085
ctranspath,SKCM,3034,2,768,0.9967992943170843,0.9967069154774972,0.5,1.9935985886341685,0.49679929431708425
phikon,CCRCC,74220,24,768,0.99465392526132,0.996631635677715,0.041666666666666664,23.87169420627168,0.9529872585946534
phikon,COAD,15651,4,768,0.9981284069462979,0.9982964224872232,0.25,3.9925136277851916,0.7481284069462979
phikon,HCC,4196,2,768,0.9984023410335674,0.9984114376489277,0.5,1.9968046820671348,0.4984023410335674
phikon,IDC,35536,4,768,0.9996517638996484,0.9993434011818779,0.25,3.9986070555985935,0.7496517638996484
phikon,LUNG,5206,2,768,0.9977740089039644,0.9980793854033291,0.5,1.9955480178079288,0.4977740089039644
phikon,LYMPH_IDC,19964,4,768,0.9791314890442159,0.9791318864774624,0.25,3.9165259561768635,0.7291314890442159
phikon,PAAD,7571,3,768,0.9985078107519563,0.9982394366197183,0.3333333333333333,2.995523432255869,0.665174477418623
phikon,PRAD,62710,23,768,0.9799744961648736,0.981661616966991,0.043478260869565216,22.539413411792093,0.9364962352953085
phikon,READ,8407,4,768,0.9912369300599516,0.9908838684106223,0.25,3.9649477202398065,0.7412369300599516
phikon,SKCM,3034,2,768,0.9987113402061856,0.9989023051591658,0.5,1.9974226804123711,0.49871134020618557
conch_v1,CCRCC,74220,24,512,0.9825200235026358,0.9868858349052367,0.041666666666666664,23.58048056406326,0.9408533568359692
conch_v1,COAD,15651,4,512,0.9858529911640467,0.9870102214650767,0.25,3.9434119646561867,0.7358529911640467
conch_v1,HCC,4196,2,512,0.9925091494210866,0.9928514694201748,0.5,1.9850182988421732,0.4925091494210866
conch_v1,IDC,35536,4,512,0.9962319922875269,0.9956852077666261,0.25,3.9849279691501076,0.7462319922875269
conch_v1,LUNG,5206,2,512,0.9919536685489622,0.9929577464788732,0.5,1.9839073370979243,0.49195366854896216
conch_v1,LYMPH_IDC,19964,4,512,0.9734581491900074,0.9734557595993322,0.25,3.8938325967600296,0.7234581491900074
conch_v1,PAAD,7571,3,512,0.9927581102279919,0.9929577464788732,0.3333333333333333,2.9782743306839756,0.6594247768946586
conch_v1,PRAD,62710,23,512,0.9469165191405043,0.9491840748418646,0.043478260869565216,21.7790799402316,0.9034382582709392
conch_v1,READ,8407,4,512,0.9632977508172907,0.9615537059056679,0.25,3.853191003269163,0.7132977508172907
conch_v1,SKCM,3034,2,512,0.9980879541108987,0.9978046103183315,0.5,1.9961759082217974,0.4980879541108987
