encoder,task,n_spots,n_slides,chance,acc_random,acc_block,drop,test_frac_random,test_frac_block,nn_dist_random,nn_dist_block,nn_dist_ratio,slides_in_block_test,acc_drop
resnet50,CCRCC,74220,24,0.0416666666666666,0.9690152687672876,0.9471540267587836,0.0218612420085042,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.021861242008504034
resnet50,COAD,15651,4,0.25,0.994623699088986,0.985420684361535,0.0092030147274511,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.009203014727450998
resnet50,HCC,4196,2,0.5,0.9961866837218982,0.9962669619031396,-8.027818124145547e-05,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,-8.027818124134445e-05
resnet50,IDC,35536,4,0.25,0.9959412796288416,0.986258840499658,0.0096824391291834,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.009682439129183651
resnet50,LUNG,5206,2,0.5,0.9893807697496484,0.9864119963533492,0.002968773396299,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.002968773396299196
resnet50,LYMPH_IDC,19964,4,0.25,0.9622709959089838,0.9406944744656524,0.0215765214433314,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.021576521443331442
resnet50,PAAD,7571,3,0.3333333333333333,0.9891260844765049,0.9847355769230768,0.0043905075534278,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,0.004390507553428069
resnet50,PRAD,62710,23,0.0434782608695652,0.9353374561960036,0.9029973673354704,0.032340088860533,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.03234008886053319
resnet50,READ,8407,4,0.25,0.9827758037331435,0.970839099734286,0.0119367039988576,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.0119367039988576
resnet50,SKCM,3034,2,0.5,1.0,0.9991181657848324,0.0008818342151675,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.0008818342151676317
ctranspath,CCRCC,74220,24,0.0416666666666666,0.98831981192816,0.9727654735841316,0.0155543383440285,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.015554338344028418
ctranspath,COAD,15651,4,0.25,0.9962402625489484,0.9897150517995392,0.006525210749409,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.006525210749409149
ctranspath,HCC,4196,2,0.5,0.9991408934707904,0.9954579004144666,0.0036829930563238,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,0.0036829930563238023
ctranspath,IDC,35536,4,0.25,0.9971567960457924,0.9914462216088924,0.0057105744369001,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.00571057443690004
ctranspath,LUNG,5206,2,0.5,0.9979570990806944,0.9941775768569254,0.003779522223769,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.003779522223768983
ctranspath,LYMPH_IDC,19964,4,0.25,0.9732899213211196,0.9548012735434692,0.0184886477776505,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.018488647777650358
ctranspath,PAAD,7571,3,0.3333333333333333,0.9953719192874828,0.9871095800386056,0.0082623392488772,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,0.008262339248877204
ctranspath,PRAD,62710,23,0.0434782608695652,0.960502846697224,0.9288396198073648,0.0316632268898591,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.03166322688985912
ctranspath,READ,8407,4,0.25,0.9705786946830638,0.948195897387298,0.0223827972957658,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.022382797295765755
ctranspath,SKCM,3034,2,0.5,0.9977553172616348,0.9858482352153238,0.011907082046311,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.011907082046310968
phikon,CCRCC,74220,24,0.0416666666666666,0.99465392526132,0.98711452288026,0.0075394023810598,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.00753940238105999
phikon,COAD,15651,4,0.25,0.998128406946298,0.9981781600345232,-4.9753088225190645e-05,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,-4.9753088225190645e-05
phikon,HCC,4196,2,0.5,0.9984023410335674,0.9960327598932606,0.0023695811403068,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,0.002369581140306831
phikon,IDC,35536,4,0.25,0.9996517638996484,0.9961370512345472,0.0035147126651012,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.0035147126651011718
phikon,LUNG,5206,2,0.5,0.9977740089039644,0.9991909385113268,-0.0014169296073625,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,-0.0014169296073623938
phikon,LYMPH_IDC,19964,4,0.25,0.978964599858635,0.9642900998435728,0.0146745000150622,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.014674500015062208
phikon,PAAD,7571,3,0.3333333333333333,0.9985078107519564,0.9979166666666668,0.0005911440852895,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,0.0005911440852895966
phikon,PRAD,62710,23,0.0434782608695652,0.980419790994568,0.957255852711345,0.023163938283223,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.02316393828322305
phikon,READ,8407,4,0.25,0.9912078772451036,0.9796308890777524,0.011576988167351,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.011576988167351199
phikon,SKCM,3034,2,0.5,0.9987113402061856,0.9936708860759492,0.0050404541302362,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.005040454130236349
conch_v1,CCRCC,74220,24,0.0416666666666666,0.9825555972373684,0.963198363968234,0.0193572332691343,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.01935723326913441
conch_v1,COAD,15651,4,0.25,0.9856227885857778,0.9811776498506388,0.0044451387351389,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.004445138735138965
conch_v1,HCC,4196,2,0.5,0.9933682559502962,0.9940739794469994,-0.0007057234967031,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,-0.00070572349670317
conch_v1,IDC,35536,4,0.25,0.9962319922875268,0.989654842871723,0.0065771494158038,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.006577149415803785
