encoder,task,n_spots,n_slides,chance,acc_random,acc_block,drop,test_frac_random,test_frac_block,nn_dist_random,nn_dist_block,nn_dist_ratio,slides_in_block_test
conch_v15,CCRCC,74220,24,0.041666666666666664,0.9755064329566391,0.9576789194251877,0.0178275135314514,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
conch_v15,COAD,15651,4,0.25,0.9814354698886314,0.975306508710452,0.006128961178179404,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
conch_v15,HCC,4196,2,0.5,0.9921322592598233,0.9938397774371203,-0.0017075181772969739,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
conch_v15,IDC,35536,4,0.25,0.9944593914018682,0.9857436368376725,0.00871575456419571,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
conch_v15,LUNG,5206,2,0.5,0.9885231368165437,0.9856099838031058,0.0029131530134378636,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
conch_v15,LYMPH_IDC,19964,4,0.25,0.96928502709495,0.950695556652683,0.018589470442266998,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
conch_v15,PAAD,7571,3,0.3333333333333333,0.9884231439505893,0.9790134976840484,0.009409646266540839,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
conch_v15,PRAD,62710,23,0.043478260869565216,0.929943505652495,0.8970645304238317,0.03287897522866323,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
conch_v15,READ,8407,4,0.25,0.9524230499220948,0.935107115749165,0.01731593417292976,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
conch_v15,SKCM,3034,2,0.5,0.9948872484279829,0.9572031344183243,0.037684114009658654,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
uni_v1,CCRCC,74220,24,0.041666666666666664,0.9950879425364931,0.9862331851990597,0.008854757337433461,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
uni_v1,COAD,15651,4,0.25,0.9988381387307919,0.9986333421073522,0.00020479662343964034,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
uni_v1,HCC,4196,2,0.5,0.9984023410335674,0.9943365695792881,0.004065771454279332,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
uni_v1,IDC,35536,4,0.25,0.9990616454455767,0.9944491296225096,0.004612515823067098,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
uni_v1,LUNG,5206,2,0.5,0.9994892747701736,0.9991909385113269,0.00029833625884667647,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
uni_v1,LYMPH_IDC,19964,4,0.25,0.9804688336677068,0.9621176307167356,0.018351202950971146,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
uni_v1,PAAD,7571,3,0.3333333333333333,0.9974169001330943,0.9932291666666666,0.0041877334664276455,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
uni_v1,PRAD,62710,23,0.043478260869565216,0.9754326743329528,0.9546271375310986,0.020805536801854152,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
uni_v1,READ,8407,4,0.25,0.9866253673658258,0.9771760224717458,0.009449344894080003,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
uni_v1,SKCM,3034,2,0.5,1.0,0.9944388632152346,0.005561136784765441,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
uni_v2,CCRCC,74220,24,0.041666666666666664,0.9949159541366587,0.986743016116374,0.008172938020284626,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
uni_v2,COAD,15651,4,0.25,0.9988435629197236,0.9986325512519092,0.00021101166781445357,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
uni_v2,HCC,4196,2,0.5,0.9991408934707904,0.997650882870607,0.001490010600183389,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
uni_v2,IDC,35536,4,0.25,0.9996919051970151,0.9970514514829293,0.002640453714085833,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
uni_v2,LUNG,5206,2,0.5,0.9981209166072427,0.9983818770226538,-0.0002609604154111267,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
uni_v2,LYMPH_IDC,19964,4,0.25,0.9839748452482098,0.9741044304244082,0.009870414823801577,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
uni_v2,PAAD,7571,3,0.3333333333333333,0.9979857283469737,0.9983478327228328,-0.0003621043758590403,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
uni_v2,PRAD,62710,23,0.043478260869565216,0.9774527316050955,0.9545299622837109,0.022922769321384595,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
uni_v2,READ,8407,4,0.25,0.9963836636965764,0.9934851992176734,0.0028984644789029623,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
uni_v2,SKCM,3034,2,0.5,1.0,0.9823208983546536,0.017679101645346362,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
