encoder,task,design,fold,n_train,n_test,n_genes,alpha,pearson,n_test_samples
resnet50,CCRCC,patient,0,55849,18371,50,0.0078125,0.1408321261405944,4
resnet50,CCRCC,patient,1,67651,6569,50,0.0078125,0.2424554675817489,4
resnet50,CCRCC,patient,2,63464,10756,50,0.0078125,0.1567430645227432,4
resnet50,CCRCC,patient,3,67098,7122,50,0.0078125,0.2627686560153961,4
resnet50,CCRCC,patient,4,59472,14748,50,0.0078125,0.2538797855377197,4
resnet50,CCRCC,patient,5,57566,16654,50,0.0078125,0.2943500280380249,4
resnet50,CCRCC,random_spot,0,55849,18371,50,0.0078125,0.5750064253807068,24
resnet50,CCRCC,random_spot,1,67651,6569,50,0.0078125,0.5668845176696777,24
resnet50,CCRCC,random_spot,2,63464,10756,50,0.0078125,0.5772029161453247,24
resnet50,CCRCC,random_spot,3,67098,7122,50,0.0078125,0.5655118227005005,24
resnet50,CCRCC,random_spot,4,59472,14748,50,0.0078125,0.5725144743919373,24
resnet50,CCRCC,random_spot,5,57566,16654,50,0.0078125,0.5791284441947937,24
resnet50,CCRCC,leave_one_sample,0,73136,1084,50,0.0078125,0.1196370795369148,1
resnet50,CCRCC,leave_one_sample,1,72237,1983,50,0.0078125,0.4325423538684845,1
resnet50,CCRCC,leave_one_sample,2,72781,1439,50,0.0078125,0.0477561056613922,1
resnet50,CCRCC,leave_one_sample,3,72769,1451,50,0.0078125,0.0683739632368087,1
resnet50,CCRCC,leave_one_sample,4,69861,4359,50,0.0078125,0.0983464792370796,1
resnet50,CCRCC,leave_one_sample,5,69658,4562,50,0.0078125,0.0871485248208046,1
resnet50,CCRCC,leave_one_sample,6,69280,4940,50,0.0078125,0.1029654592275619,1
resnet50,CCRCC,leave_one_sample,7,71014,3206,50,0.0078125,0.1032511442899704,1
resnet50,CCRCC,leave_one_sample,8,70635,3585,50,0.0078125,0.1017395108938217,1
resnet50,CCRCC,leave_one_sample,9,69305,4915,50,0.0078125,0.2398300021886825,1
resnet50,CCRCC,leave_one_sample,10,69272,4948,50,0.0078125,0.1233527436852455,1
resnet50,CCRCC,leave_one_sample,11,71640,2580,50,0.0078125,0.230203166604042,1
