task,n_spots,inventory_patches,spots_match_inventory,genes_per_spot_min,genes_per_spot_max,all_spots_50_genes,max_folds_per_spot,each_spot_one_fold,n_encoders,pred_rows,pred_rows_expected,counts_integral,target_min,target_max,pred_rows_ok
CCRCC,74220,74220,True,50,50,True,1,True,11,40821000,40821000,True,0.0,6.2859978675842285,True
COAD,15651,15651,True,50,50,True,1,True,11,8608050,8608050,True,0.0,7.923710346221924,True
HCC,4196,4196,True,50,50,True,1,True,11,2307800,2307800,True,0.0,7.56992769241333,True
IDC,35536,35536,True,50,50,True,1,True,11,19544800,19544800,True,0.0,7.777373790740967,True
LUNG,5206,5206,True,50,50,True,1,True,11,2863300,2863300,True,0.0,7.496097564697266,True
LYMPH_IDC,19964,19964,True,50,50,True,1,True,11,10980200,10980200,True,0.0,6.786716938018799,True
PAAD,7571,7571,True,50,50,True,1,True,11,4164050,4164050,True,0.0,8.215276718139648,True
PRAD,62710,62710,True,50,50,True,1,True,11,34490500,34490500,True,0.0,8.032034873962402,True
READ,8407,8407,True,50,50,True,1,True,11,4623850,4623850,True,0.0,6.061456680297852,True
SKCM,3034,3034,True,50,50,True,1,True,11,1668700,1668700,True,0.0,8.392536163330078,True
