task,n_samples,n_patients,n_resolution_groups,px_min,px_max,spread,groups_with_multiple_patients,resolution_predicts_patient,distinct_px
PRAD,23,2,3,0.1717,0.6876,4.004,0,True,0.1717x1; 0.3412x1; 0.3413x3; 0.3414x1; 0.3416x1; 0.3417x1; 0.3418x1; 0.3484x2; 0.3486x3; 0.3487x1; 0.3492x1; 0.5730x4; 0.5737x1; 0.6876x2
PAAD,3,3,2,0.1369,0.2739,2.001,1,False,0.1369x1; 0.2738x1; 0.2739x1
SKCM,2,2,2,0.1369,0.2737,2.0,0,True,0.1369x1; 0.2737x1
IDC,4,4,3,0.2125,0.3639,1.713,1,False,0.2125x2; 0.2740x1; 0.3639x1
COAD,4,2,1,0.2497,0.274,1.097,1,False,0.2497x1; 0.2738x2; 0.2740x1
CCRCC,24,24,1,0.4566,0.4587,1.005,1,False,0.4566x2; 0.4569x1; 0.4570x2; 0.4571x2; 0.4573x2; 0.4574x2; 0.4575x4; 0.4576x2; 0.4577x3; 0.4579x1; 0.4580x1; 0.4581x1; 0.4587x1
LYMPH_IDC,4,4,1,0.2734,0.2739,1.002,1,False,0.2734x1; 0.2735x1; 0.2739x2
READ,4,2,1,0.4591,0.4598,1.002,1,False,0.4591x1; 0.4594x1; 0.4596x1; 0.4598x1
LUNG,2,2,1,0.2736,0.2739,1.001,1,False,0.2736x1; 0.2739x1
HCC,2,2,1,0.4534,0.454,1.001,1,False,0.4534x1; 0.4540x1
