task,ours,pearson_mean,abs_diff
CCRCC,0.2429703288835784,0.243,2.9671116421603472e-05
COAD,0.29916083967778834,0.2992,3.9160322211684306e-05
HCC,0.07078176304930821,0.0708,1.8236950691793985e-05
IDC,0.5514914555568249,0.5515,8.544443175106942e-06
LUNG,0.5411078426986933,0.541,0.00010784269869323904
LYMPH_IDC,0.24996875937096774,0.25,3.124062903225866e-05
PAAD,0.4746573948860168,0.4747,4.260511398318512e-05
PRAD,0.36986031755805016,0.3698,6.0317558050138054e-05
READ,0.19604393926914782,0.1961,5.6060730852180995e-05
SKCM,0.5619626969099045,0.5621,0.00013730309009551966
