task,ours,pearson_mean,abs_diff
CCRCC,0.24222007949661928,0.2423,7.992050338070933e-05
COAD,0.2624286782334093,0.2624,2.8678233409296094e-05
HCC,0.060280575612559915,0.0603,1.9424387440084012e-05
IDC,0.5326789172424469,0.5327,2.108275755308142e-05
LUNG,0.5465819020941853,0.5466,1.8097905814640214e-05
LYMPH_IDC,0.23730816708964994,0.2372,0.00010816708964994648
PAAD,0.4424251445941627,0.4424,2.5144594162695988e-05
PRAD,0.34221557989716533,0.3421,0.0001155798971653188
READ,0.15313996270531788,0.1532,6.003729468212482e-05
SKCM,0.5354254171624779,0.5356,0.0001745828375220304
