task,ours,pearson_mean,abs_diff
CCRCC,0.2640013832466987,0.264,1.3832466986829495e-06
COAD,0.3015683676674962,0.3016,3.163233250380593e-05
HCC,0.07473635958893282,0.0748,6.364041106718399e-05
IDC,0.5897726347111165,0.5898,2.7365288883474115e-05
LUNG,0.5588056628406048,0.5588,5.66284060488087e-06
LYMPH_IDC,0.27274564203922635,0.2728,5.43579607736322e-05
PAAD,0.5000876717766126,0.5001,1.2328223387370052e-05
PRAD,0.3566980507969856,0.3568,0.00010194920301442867
READ,0.22263797154650092,0.2227,6.202845349909114e-05
SKCM,0.6612612591311335,0.6612,6.125913113352865e-05
