task,ours,pearson_mean,abs_diff
CCRCC,0.2585312440199778,0.2586,6.875598002220595e-05
COAD,0.3078815263696015,0.3079,1.8473630398530005e-05
HCC,0.08310635994654149,0.0832,9.364005345850746e-05
IDC,0.5846739636838902,0.5846,7.396368389023245e-05
LUNG,0.5662524332106114,0.5663,4.756678938866443e-05
LYMPH_IDC,0.2609580404800363,0.261,4.195951996371905e-05
PAAD,0.5158470240732034,0.5159,5.2975926796650086e-05
PRAD,0.3379283685237169,0.3378,0.000128368523716893
READ,0.19808370122918859,0.1981,1.6298770811412622e-05
SKCM,0.6240554158296436,0.6242,0.0001445841703563433
