task,ours,pearson_mean,abs_diff
CCRCC,0.271920949187285,0.2719,2.094918728501316e-05
COAD,0.2579749375162646,0.258,2.5062483735405205e-05
HCC,0.09418372786138207,0.0942,1.6272138617934306e-05
IDC,0.5971133273094893,0.5971,1.3327309489330474e-05
LUNG,0.5683754204399883,0.5684,2.457956001167272e-05
LYMPH_IDC,0.2567855799832614,0.2568,1.4420016738569963e-05
PAAD,0.47762261658906935,0.4778,0.0001773834109306538
PRAD,0.3529174379259348,0.3529,1.7437925934782328e-05
READ,0.20731125792721286,0.2074,8.874207278714019e-05
SKCM,0.6399650178756564,0.6398,0.00016501787565637027
