encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact
gigapath,CCRCC,0,0.0036623477935791016,1.211761474609375,0.011814475059509277,1.6689300537109375e-06,1.2026307582855225,2.9087066650390625e-05
gigapath,CCRCC,1,0.0014027953147888184,1.1411325931549072,0.00711667537689209,1.9073486328125e-06,1.1340430974960327,2.9206275939941406e-05
gigapath,CCRCC,2,0.002937495708465576,1.2267248630523682,0.00923764705657959,1.5497207641601562e-06,1.2175084352493286,2.6226043701171875e-05
gigapath,CCRCC,3,0.0035808682441711426,1.1481952667236328,0.008193731307983398,1.430511474609375e-06,1.1433180570602417,2.0265579223632812e-05
gigapath,CCRCC,4,0.0035016536712646484,1.173438549041748,0.008156538009643555,1.4901161193847656e-06,1.1653133630752563,3.1828880310058594e-05
gigapath,CCRCC,5,0.004819035530090332,1.1242395639419556,0.009946107864379883,1.7881393432617188e-06,1.1143138408660889,2.2292137145996094e-05
gigapath,COAD,0,0.007648289203643799,4.792044162750244,0.04718589782714844,4.0531158447265625e-06,4.75764799118042,0.000110626220703125
gigapath,COAD,1,0.007317304611206055,3.745804786682129,0.022096633911132812,4.291534423828125e-06,3.7265915870666504,4.4345855712890625e-05
gigapath,HCC,0,0.003938436508178711,1.6592110395431519,0.018804311752319336,1.3113021850585938e-06,1.647411823272705,5.555152893066406e-05
gigapath,HCC,1,0.006808355450630188,1.8924670219421387,0.028203964233398438,2.0265579223632812e-06,1.8762707710266113,8.702278137207031e-05
gigapath,IDC,0,0.006722986698150635,4.7028703689575195,0.030225515365600586,4.0531158447265625e-06,4.6805572509765625,8.821487426757812e-05
gigapath,IDC,1,0.004342436790466309,3.967229127883911,0.02482771873474121,4.76837158203125e-06,3.9451920986175537,7.605552673339844e-05
gigapath,IDC,2,0.004865050315856934,4.3217902183532715,0.02938222885131836,4.291534423828125e-06,4.300633430480957,8.106231689453125e-05
gigapath,IDC,3,0.004850983619689941,4.534547328948975,0.03643441200256348,3.337860107421875e-06,4.514397144317627,0.0001125335693359375
gigapath,LUNG,0,0.006773233413696289,5.100685119628906,0.06649255752563477,4.76837158203125e-06,5.034299850463867,0.00010728836059570312
gigapath,LUNG,1,0.004236817359924316,3.9041714668273926,0.02605128288269043,3.337860107421875e-06,3.885662317276001,6.747245788574219e-05
gigapath,LYMPH_IDC,0,0.004886925220489502,1.0824551582336426,0.010588884353637695,2.0265579223632812e-06,1.077209234237671,1.7881393432617188e-05
gigapath,LYMPH_IDC,1,0.003588855266571045,1.1423168182373047,0.010311245918273926,1.6689300537109375e-06,1.1350934505462646,1.728534698486328e-05
gigapath,LYMPH_IDC,2,0.004203200340270996,0.8652371168136597,0.006678462028503418,2.086162567138672e-06,0.860115110874176,1.5676021575927734e-05
gigapath,LYMPH_IDC,3,0.004311859607696533,0.9630964398384094,0.008702516555786133,1.8477439880371094e-06,0.9544143676757812,2.086162567138672e-05
gigapath,PAAD,0,0.0035088062286376953,3.8470213413238525,0.02643108367919922,3.5762786865234375e-06,3.820617198944092,5.078315734863281e-05
gigapath,PAAD,1,0.009018421173095703,3.347465991973877,0.03607058525085449,3.814697265625e-06,3.3206729888916016,7.05718994140625e-05
gigapath,PAAD,2,0.004970431327819824,3.643106698989868,0.029614925384521484,4.76837158203125e-06,3.6300899982452393,6.365776062011719e-05
gigapath,PRAD,0,0.003257155418395996,3.024914503097534,0.029488325119018555,2.86102294921875e-06,2.999189853668213,9.512901306152344e-05
gigapath,PRAD,1,0.0068171024322509766,2.805773973464966,0.015420198440551758,2.6226043701171875e-06,2.7908222675323486,5.650520324707031e-05
gigapath,READ,0,0.006814241409301758,1.145182728767395,0.016022145748138428,2.1457672119140625e-06,1.1302213668823242,3.7789344787597656e-05
gigapath,READ,1,0.005694210529327393,0.9548007845878601,0.011643409729003906,1.430511474609375e-06,0.9455653429031372,2.181529998779297e-05
gigapath,SKCM,0,0.006087541580200195,5.316991806030273,0.0480804443359375,4.291534423828125e-06,5.284176349639893,0.0001811981201171875
gigapath,SKCM,1,0.008788347244262695,4.852998733520508,0.05838727951049805,4.5299530029296875e-06,4.7946295738220215,1.811981201171875e-05
