encoder,task,fold,head,n_train,n_test,n_test_samples,gene,pearson,r2,mse,mean_pred,mean_target,train_mean_pred,train_mean_target
conch_v1,CCRCC,0,nointercept,55849,18371,4,AKAP8,0.175557941198349,-0.9092792272567749,0.4015442728996277,-0.09090631455183029,0.3477015793323517,-4.808585529758602e-08,0.35207951068878174
conch_v1,CCRCC,0,nointercept,55849,18371,4,BLVRB,0.12419895827770233,-1.2152528762817383,0.3460089862346649,-0.1636023223400116,0.2520582377910614,1.530004425376319e-07,0.37015095353126526
conch_v1,CCRCC,0,nointercept,55849,18371,4,BTF3,0.031242255121469498,-3.151801109313965,0.6149545907974243,-0.4042418301105499,0.2396368533372879,1.3551468214245688e-07,0.6006410717964172
conch_v1,CCRCC,0,nointercept,55849,18371,4,CD109,0.2714684307575226,-0.57892906665802,0.3800494074821472,-0.00018402907880954444,0.35703882575035095,-1.9999343692234106e-07,0.48740237951278687
conch_v1,CCRCC,0,nointercept,55849,18371,4,CD14,0.06438551098108292,-1.0772638320922852,0.7900123596191406,-0.12441249936819077,0.4735223054885864,4.458870250800828e-07,0.7004610300064087
conch_v1,CCRCC,0,nointercept,55849,18371,4,CHST15,0.12568068504333496,-0.9849652051925659,0.5274050235748291,-0.06543351709842682,0.426510214805603,3.278580962273736e-08,0.4723576605319977
conch_v1,CCRCC,0,nointercept,55849,18371,4,CIB1,0.10787958651781082,-2.04707932472229,0.8656177520751953,-0.18058887124061584,0.5336077809333801,-7.868594309456967e-08,0.7433766722679138
conch_v1,CCRCC,0,nointercept,55849,18371,4,CKB,0.2143937647342682,-0.827619194984436,0.8132898807525635,-0.12137536704540253,0.48686012625694275,-7.212878472273587e-08,0.5242236852645874
conch_v1,CCRCC,0,nointercept,55849,18371,4,CPD,0.17885830998420715,-0.8349878787994385,0.536063551902771,0.17021708190441132,0.49838611483573914,-9.617171059517204e-08,0.5640750527381897
conch_v1,CCRCC,0,nointercept,55849,18371,4,CPE,0.3663642108440399,-1.3781814575195312,2.496384382247925,0.032420746982097626,1.281748652458191,-5.114586087984208e-07,1.101182460784912
conch_v1,CCRCC,0,nointercept,55849,18371,4,DERL1,0.3803122341632843,-0.8045048713684082,0.5688493847846985,0.05165070667862892,0.551719069480896,-3.497152931686287e-07,0.6185947060585022
conch_v1,CCRCC,0,nointercept,55849,18371,4,DNAJB12,0.04276372864842415,-1.035766363143921,0.2535659074783325,-0.1319093555212021,0.19344381988048553,-4.808585529758602e-08,0.33685410022735596
conch_v1,CCRCC,0,nointercept,55849,18371,4,EGFL7,0.03162817284464836,-1.5797100067138672,0.42833569645881653,-0.22576521337032318,0.25916171073913574,-4.371441431061385e-09,0.4487183690071106
conch_v1,CCRCC,0,nointercept,55849,18371,4,FLNB,0.16946005821228027,-1.874995470046997,0.9682744741439819,-0.25119754672050476,0.5235467553138733,-1.0928603444426699e-07,0.635085940361023
conch_v1,CCRCC,0,nointercept,55849,18371,4,GADD45B,0.2060842216014862,-1.3568923473358154,0.8731797337532043,-0.16176868975162506,0.5482276678085327,3.191152018189314e-07,0.5517125129699707
conch_v1,CCRCC,0,nointercept,55849,18371,4,GPNMB,0.09040588140487671,-0.8020608425140381,0.6478281021118164,-0.09282965958118439,0.3970940411090851,5.245729539637978e-08,0.5627884268760681
