encoder,solver,check,value,threshold,passed,is_hard_stop
hoptimus0,lsqr float32 (faithful),A1 max|dPearson(int-noint)|,0.004873305559158325,1e-06,False,False
hoptimus0,lsqr float32 (faithful),A2 max|pred(int)-pred(ycent)|,0.015072345733642578,0.0001,False,False
hoptimus0,lsqr float32 (faithful),A3 max|train mean pred - target|,0.00036716461181640625,1e-06,False,False
hoptimus0,lsqr float32 (faithful),A2b max|(int-noint) - ybar|,0.05885171890258789,0.0001,False,False
hoptimus0,cholesky float32,A1 max|dPearson(int-noint)|,8.32974910736084e-06,1e-06,False,False
hoptimus0,cholesky float32,A2 max|pred(int)-pred(ycent)|,6.318092346191406e-06,0.0001,True,False
hoptimus0,cholesky float32,A3 max|train mean pred - target|,0.00036716461181640625,1e-06,False,False
hoptimus0,cholesky float32,A2b max|(int-noint) - ybar|,0.0001678466796875,0.0001,False,False
hoptimus0,cholesky float64 (Topic A head),A1 max|dPearson(int-noint)|,8.10597971484528e-06,1e-09,False,True
hoptimus0,cholesky float64 (Topic A head),A2 max|pred(int)-pred(ycent)|,4.517426380745704e-07,1e-09,False,True
hoptimus0,cholesky float64 (Topic A head),A3 max|train mean pred - target| (relative),1.509276838406914e-07,1e-10,False,True
hoptimus0,cholesky float64 (Topic A head),A2b max|(int-noint) - ybar|,0.00016910176311046854,1e-09,False,True
