encoder,solver,check,value,threshold,passed,is_hard_stop
resnet50,lsqr float32 (faithful),A1 max|dPearson(int-noint)|,0.004377782344818115,1e-06,False,False
resnet50,lsqr float32 (faithful),A2 max|pred(int)-pred(ycent)|,0.02184605598449707,0.0001,False,False
resnet50,lsqr float32 (faithful),A3 max|train mean pred - target|,0.00036776065826416016,1e-06,False,False
resnet50,lsqr float32 (faithful),A2b max|(int-noint) - ybar|,0.12430524826049805,0.0001,False,False
resnet50,cholesky float32,A1 max|dPearson(int-noint)|,3.594160079956055e-05,1e-06,False,False
resnet50,cholesky float32,A2 max|pred(int)-pred(ycent)|,9.5367431640625e-06,0.0001,True,False
resnet50,cholesky float32,A3 max|train mean pred - target|,0.0003676414489746094,1e-06,False,False
resnet50,cholesky float32,A2b max|(int-noint) - ybar|,0.002693653106689453,0.0001,False,False
resnet50,cholesky float64 (Topic A head),A1 max|dPearson(int-noint)|,3.600846605533725e-05,1e-09,False,True
resnet50,cholesky float64 (Topic A head),A2 max|pred(int)-pred(ycent)|,1.1970947584316605e-06,1e-09,False,True
resnet50,cholesky float64 (Topic A head),A3 max|train mean pred - target| (relative),1.509276838406914e-07,1e-10,False,True
resnet50,cholesky float64 (Topic A head),A2b max|(int-noint) - ybar|,0.0026929215042148513,1e-09,False,True
