task,ours,pearson_mean,abs_diff
CCRCC,0.21767219431853543,0.218,0.0003278056814645658
COAD,0.24901057935319842,0.2488,0.00021057935319843124
HCC,0.051237667579262056,0.0514,0.00016233242073794563
IDC,0.5363148928224108,0.5363,1.4892822410850215e-05
LUNG,0.5322421975433826,0.5321,0.00014219754338262725
LYMPH_IDC,0.2506935455731582,0.2507,6.45442684177322e-06
PAAD,0.44657088915507,0.4467,0.0001291108449300027
PRAD,0.35465179264545443,0.3548,0.00014820735454557088
READ,0.16025421670870854,0.1602,5.4216708708532124e-05
SKCM,0.5789063211530447,0.5789,6.321153044774874e-06
