task,ours,pearson_mean,abs_diff
CCRCC,0.23621128652077117,0.2362,1.1286520771175423e-05
COAD,0.23808042629223586,0.2382,0.00011957370776413678
HCC,0.052185315709208493,0.0523,0.00011468429079150577
IDC,0.49936612122707774,0.4994,3.387877292226893e-05
LUNG,0.5137590431088017,0.5137,5.904310880167074e-05
LYMPH_IDC,0.2408188665151047,0.2408,1.8866515104715154e-05
PAAD,0.4315473157008148,0.4315,4.731570081478731e-05
PRAD,0.3551527587255434,0.3551,5.275872554338923e-05
READ,0.09681988458236211,0.0969,8.011541763788821e-05
SKCM,0.5098355398658894,0.5097,0.00013553986588932254
