task,ours,pearson_mean,abs_diff
CCRCC,0.23606923194427423,0.2362,0.00013076805572576067
COAD,0.23870786290780388,0.2382,0.0005078629078038854
HCC,0.05239664816845799,0.0523,9.66481684579884e-05
IDC,0.49926468151249503,0.4994,0.00013531848750497621
LUNG,0.5134750453031791,0.5137,0.00022495469682093372
LYMPH_IDC,0.2408760008696027,0.2408,7.60008696027159e-05
PAAD,0.43136960618718456,0.4315,0.0001303938128154325
PRAD,0.3551073865487585,0.3551,7.386548758481215e-06
READ,0.09696892023061704,0.0969,6.892023061703945e-05
SKCM,0.5098227645683157,0.5097,0.00012276456831561422
