task,ours,pearson_mean,abs_diff
CCRCC,0.24296872426662086,0.243,3.1275733379132475e-05
COAD,0.29920894396938497,0.2992,8.943969384944683e-06
HCC,0.07077277664814328,0.0708,2.7223351856717204e-05
IDC,0.5514851999359323,0.5515,1.4800064067732599e-05
LUNG,0.5411121222928019,0.541,0.00011212229280188613
LYMPH_IDC,0.24996432057625323,0.25,3.567942374677058e-05
PAAD,0.4746941219109755,0.4747,5.878089024524691e-06
PRAD,0.369849348973874,0.3698,4.934897387398607e-05
READ,0.196042996267982,0.1961,5.7003732018001685e-05
SKCM,0.5619652171108597,0.5621,0.0001347828891403724
