task,ours,pearson_mean,abs_diff
CCRCC,0.2532930460261802,0.2533,6.953973819834314e-06
COAD,0.3194971175771206,0.3195,2.882422879380009e-06
HCC,0.08503355305176229,0.085,3.355305176228063e-05
IDC,0.6024371762247756,0.6024,3.717622477550364e-05
LUNG,0.5778817189484835,0.578,0.00011828105151645563
LYMPH_IDC,0.27736265417595857,0.2774,3.734582404141262e-05
PAAD,0.49644630844394366,0.4965,5.3691556056334466e-05
PRAD,0.3781175448000431,0.3782,8.245519995686568e-05
READ,0.24214188490645028,0.242,0.00014188490645028473
SKCM,0.6588452888885512,0.6589,5.4711111448835226e-05
