task,ours,pearson_mean,abs_diff
CCRCC,0.2422200775973352,0.2423,7.992240266480044e-05
COAD,0.2624286783090454,0.2624,2.8678309045404582e-05
HCC,0.060280577667165026,0.0603,1.9422332834972966e-05
IDC,0.5326789162580141,0.5327,2.1083741985838955e-05
LUNG,0.5465818991995482,0.5466,1.8100800451725796e-05
LYMPH_IDC,0.23730816872733546,0.2372,0.00010816872733546146
PAAD,0.4424251438736113,0.4424,2.514387361129966e-05
PRAD,0.34221557655578666,0.3421,0.00011557655578664505
READ,0.15313996366002583,0.1532,6.0036339974173236e-05
SKCM,0.5354254181187437,0.5356,0.00017458188125629714
