task,ours,pearson_mean,abs_diff
CCRCC,0.24247542063048746,0.2423,0.00017542063048747725
COAD,0.262236068465227,0.2624,0.0001639315347730097
HCC,0.06041035146193076,0.0603,0.00011035146193075912
IDC,0.5325968417661695,0.5327,0.00010315823383044709
LUNG,0.5461846244975836,0.5466,0.00041537550241632637
LYMPH_IDC,0.23722507445463611,0.2372,2.5074454636120347e-05
PAAD,0.442539763270467,0.4424,0.0001397632704669971
PRAD,0.34191727946465267,0.3421,0.0001827205353473471
READ,0.15330581872656457,0.1532,0.00010581872656456603
SKCM,0.5358680325977712,0.5356,0.00026803259777119504
