task,ours,pearson_mean,abs_diff
CCRCC,0.22516499822687666,0.2252,3.5001773123349844e-05
COAD,0.2499581398628652,0.25,4.1860137134808184e-05
HCC,0.060450735753984186,0.0605,4.926424601581214e-05
IDC,0.4738798762485385,0.4738,7.987624853850184e-05
LUNG,0.49494543850421907,0.4948,0.00014543850421905313
LYMPH_IDC,0.23048137914171096,0.2305,1.8620858289047915e-05
PAAD,0.3879750546564658,0.388,2.4945343534199527e-05
PRAD,0.30430931121110916,0.3044,9.068878889084697e-05
READ,0.07825424784532516,0.0783,4.575215467483851e-05
SKCM,0.48212430819869045,0.4822,7.56918013095631e-05
