task,ours,pearson_mean,abs_diff
CCRCC,0.22510832989705276,0.2252,9.167010294724998e-05
COAD,0.2500762172796848,0.25,7.62172796848204e-05
HCC,0.06049467398844926,0.0605,5.326011550739473e-06
IDC,0.47393087956288427,0.4738,0.00013087956288426739
LUNG,0.4947811544247004,0.4948,1.8845575299630823e-05
LYMPH_IDC,0.23039139203839737,0.2305,0.00010860796160264141
PAAD,0.3877855807656933,0.388,0.0002144192343067064
PRAD,0.3043704139948251,0.3044,2.958600517488641e-05
READ,0.07825129674135803,0.0783,4.870325864196612e-05
SKCM,0.482192415692017,0.4822,7.58430798303289e-06
