task,ours,pearson_mean,abs_diff
CCRCC,0.23998035355471078,0.24,1.964644528920645e-05
COAD,0.2615798256546259,0.2616,2.017434537410212e-05
HCC,0.07849071551230735,0.0784,9.071551230735442e-05
IDC,0.573510989844799,0.5735,1.0989844798969806e-05
LUNG,0.5464585014339537,0.5464,5.850143395369489e-05
LYMPH_IDC,0.2558356689941138,0.2559,6.433100588620899e-05
PAAD,0.4806643154720465,0.4807,3.568452795349453e-05
PRAD,0.29436955459415914,0.2943,6.9554594159138e-05
READ,0.18355499630328267,0.1836,4.500369671733839e-05
SKCM,0.634548909291625,0.6346,5.109070837505669e-05
