task,ours,pearson_mean,abs_diff
CCRCC,0.2585271133451412,0.2586,7.288665485877255e-05
COAD,0.30802418516483154,0.3079,0.0001241851648315362
HCC,0.08314050695393234,0.0832,5.9493046067657374e-05
IDC,0.584635568097001,0.5846,3.556809700100416e-05
LUNG,0.5663743492215871,0.5663,7.43492215871111e-05
LYMPH_IDC,0.26098112274892626,0.261,1.8877251073745605e-05
PAAD,0.515840312987566,0.5159,5.968701243397323e-05
PRAD,0.33788597755134103,0.3378,8.597755134104323e-05
READ,0.1980630134360399,0.1981,3.69865639600897e-05
SKCM,0.6240490859933198,0.6242,0.00015091400668021393
