task,ours,pearson_mean,abs_diff
CCRCC,0.2584185733928401,0.2586,0.00018142660715991799
COAD,0.30785298591306093,0.3079,4.7014086939078936e-05
HCC,0.08319651043721929,0.0832,3.4895627807063345e-06
IDC,0.5845985898332691,0.5846,1.410166730941853e-06
LUNG,0.5665591608046748,0.5663,0.0002591608046748073
LYMPH_IDC,0.2610771471102959,0.261,7.714711029588317e-05
PAAD,0.51600716548549,0.5159,0.0001071654854899462
PRAD,0.3379971119080427,0.3378,0.00019711190804272416
READ,0.19814072578774883,0.1981,4.0725787748829845e-05
SKCM,0.6244585389019184,0.6242,0.0002585389019184037
