encoder,task,fold,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
ctranspath,CCRCC,0,4.440892098500626e-15,1.2027191357271443,1.176836406102666e-13
ctranspath,CCRCC,1,3.552713678800501e-15,1.1340729931281799,1.3344880755994382e-13
ctranspath,CCRCC,2,3.552713678800501e-15,1.2175344832418005,9.992007221626409e-14
ctranspath,CCRCC,3,5.10702591327572e-15,1.1433318432705164,1.780797731498751e-13
ctranspath,CCRCC,4,3.9968028886505635e-15,1.1654889928436423,1.900701818158268e-13
ctranspath,CCRCC,5,4.440892098500626e-15,1.1144303314898052,1.1324274851176597e-13
ctranspath,COAD,0,8.43769498715119e-15,4.757530287322303,4.760636329592671e-13
ctranspath,COAD,1,7.105427357601002e-15,3.7265697112488416,2.722266856380884e-13
ctranspath,HCC,0,2.886579864025407e-15,1.6473606315734501,1.822986206434507e-13
ctranspath,HCC,1,3.552713678800501e-15,1.8762293884338992,2.8399504969911504e-13
ctranspath,IDC,0,7.993605777301127e-15,4.680486047732319,4.769518113789672e-13
ctranspath,IDC,1,1.0658141036401503e-14,3.945148876456717,5.422329252269265e-13
ctranspath,IDC,2,1.1546319456101628e-14,4.30048833684555,1.170619157164765e-12
ctranspath,IDC,3,1.4210854715202004e-14,4.514216640793411,9.166001291305292e-13
ctranspath,LUNG,0,7.549516567451064e-15,5.034180249084295,6.146194664324867e-13
ctranspath,LUNG,1,1.0658141036401503e-14,3.885590599622821,2.637889906509372e-13
ctranspath,LYMPH_IDC,0,3.1086244689504383e-15,1.07717243635562,8.08242361927114e-14
ctranspath,LYMPH_IDC,1,3.1086244689504383e-15,1.1350530748886307,7.172040739078511e-14
ctranspath,LYMPH_IDC,2,2.4424906541753444e-15,0.8600819810875607,9.103828801926284e-14
ctranspath,LYMPH_IDC,3,3.552713678800501e-15,0.9543294744029803,6.672440377997191e-14
ctranspath,PAAD,0,7.105427357601002e-15,3.8205983133287846,2.1227464230832993e-13
ctranspath,PAAD,1,1.0658141036401503e-14,3.320595888560823,2.2071233729548112e-13
ctranspath,PAAD,2,7.105427357601002e-15,3.630032706388112,1.7497114868092467e-13
ctranspath,PRAD,0,7.105427357601002e-15,2.9990945729947844,5.022648963404208e-13
ctranspath,PRAD,1,9.769962616701378e-15,2.790814660275553,4.916067553040193e-13
ctranspath,READ,0,3.552713678800501e-15,1.1302036788958278,1.2168044349891716e-13
ctranspath,READ,1,3.9968028886505635e-15,0.9455457646221999,8.93729534823251e-14
ctranspath,SKCM,0,7.993605777301127e-15,5.284077807379807,6.137312880127865e-13
ctranspath,SKCM,1,1.2434497875801753e-14,4.794614522750881,5.755396159656812e-13
