encoder,task,fold,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
gigapath,CCRCC,0,3.6637359812630166e-15,1.2027191357270817,6.17284001691587e-14
gigapath,CCRCC,1,4.440892098500626e-15,1.134072993128105,5.861977570020827e-14
gigapath,CCRCC,2,3.552713678800501e-15,1.217534483241756,5.551115123125783e-14
gigapath,CCRCC,3,3.552713678800501e-15,1.1433318432704902,4.8627768478581856e-14
gigapath,CCRCC,4,3.9968028886505635e-15,1.1654889928435908,8.348877145181177e-14
gigapath,CCRCC,5,3.9968028886505635e-15,1.114430331489741,5.6621374255882984e-14
gigapath,COAD,0,5.773159728050814e-15,4.757530287321954,1.7852386235972517e-13
gigapath,COAD,1,5.773159728050814e-15,3.7265697112487173,1.1235457009206584e-13
gigapath,HCC,0,2.6645352591003757e-15,1.6473606315733422,7.638334409421077e-14
gigapath,HCC,1,3.552713678800501e-15,1.8762293884337233,1.2279066652354231e-13
gigapath,IDC,0,1.1546319456101628e-14,4.680486047732007,1.8562928971732617e-13
gigapath,IDC,1,7.549516567451064e-15,3.9451488764563387,1.674216321134736e-13
gigapath,IDC,2,7.105427357601002e-15,4.300488336845139,1.8562928971732617e-13
gigapath,IDC,3,8.881784197001252e-15,4.514216640793034,1.412203687323199e-13
gigapath,LUNG,0,6.661338147750939e-15,5.03418024908385,2.318145675417327e-13
gigapath,LUNG,1,4.440892098500626e-15,3.885590599622633,8.304468224196171e-14
gigapath,LYMPH_IDC,0,3.774758283725532e-15,1.0771724363555994,4.218847493575595e-14
gigapath,LYMPH_IDC,1,3.552713678800501e-15,1.1350530748886136,3.3084646133829665e-14
gigapath,LYMPH_IDC,2,1.9984014443252818e-15,0.8600819810874929,2.3203661214665772e-14
gigapath,LYMPH_IDC,3,4.218847493575595e-15,0.9543294744029397,3.4083846855992306e-14
gigapath,PAAD,0,5.329070518200751e-15,3.8205983133287624,7.37188088351104e-14
gigapath,PAAD,1,6.661338147750939e-15,3.3205958885607685,1.6608936448392342e-13
gigapath,PAAD,2,6.8833827526759706e-15,3.6300327063881235,1.7275070263167436e-13
gigapath,PRAD,0,4.440892098500626e-15,2.9990945729944514,1.6919798895287386e-13
gigapath,PRAD,1,5.329070518200751e-15,2.7908146602752693,9.681144774731365e-14
gigapath,READ,0,4.440892098500626e-15,1.1302036788958003,5.928590951498336e-14
gigapath,READ,1,1.9984014443252818e-15,0.9455457646221463,3.5860203695392556e-14
gigapath,SKCM,0,7.327471962526033e-15,5.284077807379445,1.438849039914203e-13
gigapath,SKCM,1,7.549516567451064e-15,4.794614522750343,4.884981308350689e-14
