encoder,task,fold,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
resnet50,CCRCC,0,5.995204332975845e-15,1.2027191357274551,4.938272013532696e-13
resnet50,CCRCC,1,4.440892098500626e-15,1.134072993128374,4.0900616227190767e-13
resnet50,CCRCC,2,5.773159728050814e-15,1.2175344832420494,4.2077452633293433e-13
resnet50,CCRCC,3,3.9968028886505635e-15,1.1433318432706854,2.431388423929093e-13
resnet50,CCRCC,4,6.217248937900877e-15,1.1654889928438166,5.74651437545981e-13
resnet50,CCRCC,5,4.884981308350689e-15,1.1144303314903177,6.212808045802376e-13
resnet50,COAD,0,1.1102230246251565e-14,4.757530287322544,7.167599846980011e-13
resnet50,COAD,1,6.217248937900877e-15,3.726569711248791,1.247890679678676e-13
resnet50,HCC,0,3.552713678800501e-15,1.6473606315734255,1.6364687382974807e-13
resnet50,HCC,1,3.3306690738754696e-15,1.8762293884337378,8.504308368628699e-14
resnet50,IDC,0,8.881784197001252e-15,4.6804860477326455,8.038014698286133e-13
resnet50,IDC,1,7.771561172376096e-15,3.9451488764575,1.3251622021925868e-12
resnet50,IDC,2,1.509903313490213e-14,4.300488336848559,3.6060043839825084e-12
resnet50,IDC,3,9.769962616701378e-15,4.5142166407945,1.4432011141707335e-11
resnet50,LUNG,0,1.0658141036401503e-14,5.034180249083904,7.149836278586008e-13
resnet50,LUNG,1,7.993605777301127e-15,3.885590599622862,4.596323321948148e-13
resnet50,LYMPH_IDC,0,6.217248937900877e-15,1.077172436355923,3.6570746431152656e-13
resnet50,LYMPH_IDC,1,4.107825191113079e-15,1.1350530748886698,8.926193117986259e-14
resnet50,LYMPH_IDC,2,2.6645352591003757e-15,0.8600819810875782,1.084687895058778e-13
resnet50,LYMPH_IDC,3,3.552713678800501e-15,0.9543294744030456,2.566835632933362e-13
resnet50,PAAD,0,7.105427357601002e-15,3.820598313328798,1.1901590823981678e-13
resnet50,PAAD,1,6.661338147750939e-15,3.320595888561045,4.591882429849647e-13
resnet50,PAAD,2,1.0658141036401503e-14,3.6300327063881985,2.4780177909633494e-13
resnet50,PRAD,0,5.773159728050814e-15,2.999094572995486,1.2039258479035198e-12
resnet50,PRAD,1,7.993605777301127e-15,2.7908146602774493,2.276845378901271e-12
resnet50,READ,0,3.1086244689504383e-15,1.1302036788958034,6.23945339839338e-14
resnet50,READ,1,5.329070518200751e-15,0.9455457646221559,4.54081217071689e-14
resnet50,SKCM,0,9.325873406851315e-15,5.284077807379653,3.090860900556436e-13
resnet50,SKCM,1,1.1102230246251565e-14,4.794614522750566,4.796163466380676e-13
