encoder,task,fold,max_abs_intercept_minus_ycentered_f64,max_abs_intercept_minus_nointercept_f64,max_abs_shift_minus_ybar_f64
virchow,CCRCC,0,3.9968028886505635e-15,1.202719135727078,6.372680161348399e-14
virchow,CCRCC,1,4.884981308350689e-15,1.1340729931281097,7.149836278586008e-14
virchow,CCRCC,2,3.774758283725532e-15,1.2175344832417652,4.9960036108132044e-14
virchow,CCRCC,3,3.3306690738754696e-15,1.143331843270495,5.284661597215745e-14
virchow,CCRCC,4,3.9968028886505635e-15,1.165488992843572,6.483702463810914e-14
virchow,CCRCC,5,3.219646771412954e-15,1.114430331489763,6.661338147750939e-14
virchow,COAD,0,6.661338147750939e-15,4.757530287322007,2.788880237858393e-13
virchow,COAD,1,7.993605777301127e-15,3.7265697112487675,2.5979218776228663e-13
virchow,HCC,0,1.3322676295501878e-15,1.6473606315732718,7.771561172376096e-15
virchow,HCC,1,2.6645352591003757e-15,1.8762293884336603,1.0880185641326534e-14
virchow,IDC,0,7.993605777301127e-15,4.680486047731977,2.0161650127192843e-13
virchow,IDC,1,8.881784197001252e-15,3.945148876456355,2.26929586233382e-13
virchow,IDC,2,1.0658141036401503e-14,4.300488336845161,2.078337502098293e-13
virchow,IDC,3,7.105427357601002e-15,4.514216640793096,2.1405099914773018e-13
virchow,LUNG,0,6.661338147750939e-15,5.034180249083765,8.526512829121202e-14
virchow,LUNG,1,7.105427357601002e-15,3.8855905996227995,2.424727085781342e-13
virchow,LYMPH_IDC,0,3.3306690738754696e-15,1.0771724363556003,4.773959005888173e-14
virchow,LYMPH_IDC,1,3.219646771412954e-15,1.1350530748886314,5.084821452783217e-14
virchow,LYMPH_IDC,2,2.55351295663786e-15,0.8600819810875017,5.639932965095795e-14
virchow,LYMPH_IDC,3,3.552713678800501e-15,0.9543294744029857,7.205347429817266e-14
virchow,PAAD,0,6.217248937900877e-15,3.8205983133288424,1.5365486660812167e-13
virchow,PAAD,1,8.43769498715119e-15,3.3205958885607547,2.1893598045608087e-13
virchow,PAAD,2,7.105427357601002e-15,3.630032706388098,1.6697754290362354e-13
virchow,PRAD,0,4.6629367034256575e-15,2.999094572994525,2.4291679778798425e-13
virchow,PRAD,1,7.771561172376096e-15,2.7908146602752617,1.461053500406706e-13
virchow,READ,0,5.329070518200751e-15,1.1302036788957908,4.973799150320701e-14
virchow,READ,1,2.220446049250313e-15,0.9455457646221419,3.141931159689193e-14
virchow,SKCM,0,7.993605777301127e-15,5.284077807379441,9.769962616701378e-14
virchow,SKCM,1,7.993605777301127e-15,4.7946145227503525,6.572520305780927e-14
