encoder,task,fold,head,n_train,n_test,n_test_samples,gene,pearson,r2,mse,mean_pred,mean_target,std_pred,std_target,train_mean_pred,train_mean_target
phikon,CCRCC,0,nointercept_f64,55849,18371,4,AKAP8,0.2100659930442462,-1.065048317030962,0.434368943603778,-0.12735576909499424,0.347701582039884,0.1836824752094156,0.45863191677140885,-1.3027910283413178e-16,0.35207952698136546
phikon,CCRCC,0,nointercept_f64,55849,18371,4,BLVRB,0.13932240807575968,-1.3405243974441419,0.36562042754578733,-0.1856553969844443,0.2520582543169042,0.1994481831071001,0.39523795160372543,8.142443927133236e-18,0.37015096804314834
phikon,CCRCC,0,nointercept_f64,55849,18371,4,BTF3,0.09436222830635367,-3.4685139876536617,0.6619879093207273,-0.4537379625912141,0.2396368571471379,0.22177424561491185,0.38489606214542227,1.0585177105273208e-16,0.6006411427288154
phikon,CCRCC,0,nointercept_f64,55849,18371,4,CD109,0.2840394170289444,-0.4341579804183624,0.3452376567298747,0.050763617593386434,0.3570388251776973,0.31293877798901837,0.49063732419033296,-1.0178054908916545e-18,0.4874023668605807
phikon,CCRCC,0,nointercept_f64,55849,18371,4,CD14,0.04662043595513927,-1.1770254253432326,0.8279973577542821,-0.12395488590498487,0.4735222755808179,0.3312588927455484,0.6167124627053123,-4.885466356279942e-17,0.7004610575904594
phikon,CCRCC,0,nointercept_f64,55849,18371,4,CHST15,0.13359575638027194,-1.1348203271372528,0.5672309577303721,-0.09618780303825289,0.42651018973862326,0.2506762272512823,0.5154651375233041,-2.1577476406903077e-16,0.47235765679396713
phikon,CCRCC,0,nointercept_f64,55849,18371,4,CIB1,0.16088602551383255,-2.043518225729741,0.8647388880327987,-0.1716938804906973,0.5336077414446135,0.3866199486592198,0.5330335457094174,-8.95668831984656e-17,0.7433766609134792
phikon,CCRCC,0,nointercept_f64,55849,18371,4,CKB,0.16961907913181326,-0.8254778791213058,0.8121304796747666,-0.10033488882676267,0.4868601569352792,0.3008737659611272,0.6669981321784203,-1.1399421497986532e-16,0.5242236459322882
phikon,CCRCC,0,nointercept_f64,55849,18371,4,CPD,0.18306597909732394,-1.1527190506536726,0.6288293966218643,0.12982723536007504,0.4983861116090874,0.5579341876664169,0.5404714292126986,-8.142443927133236e-17,0.564075054961264
phikon,CCRCC,0,nointercept_f64,55849,18371,4,CPE,0.4264632744192642,-1.1552744909823298,2.2625813359976332,0.0974437203551384,1.2817485996183213,0.47073218199676425,1.02459163471921,-9.770932712559884e-17,1.1011824996369504
phikon,CCRCC,0,nointercept_f64,55849,18371,4,DERL1,0.4150240724151695,-0.9568593700563393,0.6169548784408772,0.021365105312666985,0.5517190393005897,0.5063594939049578,0.561496292826326,-1.4656399068839827e-16,0.6185946883582205
phikon,CCRCC,0,nointercept_f64,55849,18371,4,DNAJB12,0.04948592412250277,-1.1124176913685289,0.26307243065833225,-0.13219552039006457,0.1934438191464182,0.19857179738611358,0.3528968409944552,-6.513955141706589e-17,0.33685407817164165
phikon,CCRCC,0,nointercept_f64,55849,18371,4,EGFL7,0.0896923049820592,-1.9929725480640723,0.49702455211280533,-0.30228056907129663,0.2591616815905794,0.16723799485448387,0.407509328259485,1.5470643461553148e-16,0.4487183465938687
phikon,CCRCC,0,nointercept_f64,55849,18371,4,FLNB,0.136626298632636,-1.7735315369660762,0.934214113999063,-0.22228962330159494,0.5235467836480611,0.29700435155935156,0.580372275465458,-1.4656399068839827e-16,0.6350858749964493
phikon,CCRCC,0,nointercept_f64,55849,18371,4,GADD45B,0.14238653348087407,-1.3005572036145425,0.8522965081263576,-0.12832748902335717,0.5482276838168784,0.2644483080370732,0.6086657106019696,-1.4249276872483163e-16,0.5517125632372767
phikon,CCRCC,0,nointercept_f64,55849,18371,4,GPNMB,0.09589625374592223,-0.9274608755699443,0.6928935726480601,-0.13607219833753303,0.39709403686041694,0.2865119676149552,0.5995708094447445,4.885466356279942e-17,0.5627884393468424
phikon,CCRCC,0,nointercept_f64,55849,18371,4,H3F3A,0.051519096542147064,-3.758017368736567,0.7306404530509437,-0.4729588056458854,0.2360963699547845,0.29355458267725054,0.3918671383537749,-1.6284887854266473e-17,0.7055452922696459
phikon,CCRCC,0,nointercept_f64,55849,18371,4,HMOX1,0.223634017546132,-0.5635812112555547,0.7730019962585445,-0.040122304642712575,0.5029291032051185,0.24912737577678798,0.7031210276134029,3.2569775708532945e-17,0.4311843548711726
phikon,CCRCC,0,nointercept_f64,55849,18371,4,HNRNPK,0.0887634680070384,-3.8852413914781545,1.015832151324076,-0.48901708477022743,0.3734790266296651,0.2966637907421923,0.45600327635890103,-1.6284887854266473e-17,0.8356579622651759
phikon,CCRCC,0,nointercept_f64,55849,18371,4,HSPA1A,-0.017676047478017154,-1.2350039802983805,1.6874157656558075,0.10973340179894178,1.0359931270504263,0.25795431738967806,0.8689042086081593,9.770932712559884e-17,0.6820328400835965
phikon,CCRCC,0,nointercept_f64,55849,18371,4,HTRA1,0.31605213650311176,-3.0450039224924534,2.512733061053179,-0.33732741740651095,1.0581694446919006,0.32769816487860554,0.7881587537535076,3.35875811994246e-16,0.9139458908642238
phikon,CCRCC,0,nointercept_f64,55849,18371,4,IFI27,0.1376757029153131,-3.140316169405735,1.7866917066966226,-0.37250823928515103,0.7394761043902831,0.4465688034352646,0.6569133040292383,-2.6055820566826356e-16,1.2027191357270322
phikon,CCRCC,0,nointercept_f64,55849,18371,4,IFI6,0.11394944396054785,-1.7435346403771872,1.2003011254657248,-0.19840163706444158,0.6172743946626952,0.39654463401476764,0.6614391283542602,-3.0941286923106297e-16,0.8939899583219656
phikon,CCRCC,0,nointercept_f64,55849,18371,4,IRF7,0.04981531182805471,-1.3758355441540981,0.3824887303841691,-0.21245440487053116,0.23679625416326314,0.16165933714019154,0.40123714740525707,-1.791337663969312e-16,0.33066852011333364
phikon,CCRCC,0,nointercept_f64,55849,18371,4,ISG15,0.18733716644106505,-0.9131509644798534,0.44810568198967143,-0.127823860857744,0.3254972060837241,0.21951345011075743,0.483966838679216,-9.770932712559884e-17,0.4916550929690349
phikon,CCRCC,0,nointercept_f64,55849,18371,4,KRTCAP2,0.2011980274447237,-2.015160931010651,0.5320408188238526,-0.3021633693231468,0.28170337445215127,0.2322603148655038,0.4200657066625613,2.442733178139971e-17,0.5391301741247675
phikon,CCRCC,0,nointercept_f64,55849,18371,4,LAPTM4B,0.45255293499944066,-0.7063676429594541,0.6444129983105434,0.003954256120157595,0.5739159452578413,0.41685148240937564,0.6145338959632896,-1.1399421497986532e-16,0.5353134475413208
phikon,CCRCC,0,nointercept_f64,55849,18371,4,LRRC41,0.32738267835063684,-1.5548853472509006,0.945625441000632,-0.12808680608365233,0.6136591411248165,0.45409158643794,0.6083785117945949,-5.211164113365271e-16,0.8226604270632815
