encoder,task,fold,head,n_train,n_test,n_test_samples,gene,pearson,r2,mse,mean_pred,mean_target,std_pred,std_target,train_mean_pred,train_mean_target
resnet50,CCRCC,0,nointercept,55849,18371,4,AKAP8,0.1445813924074173,-0.9224790334701538,0.4043203592300415,-0.0897824838757515,0.3477015793323517,0.1498783528804779,0.4586319327354431,8.74288286212277e-09,0.35207951068878174
resnet50,CCRCC,0,nointercept,55849,18371,4,BLVRB,0.10132493078708649,-1.2651901245117188,0.3538089096546173,-0.1749720275402069,0.2520582377910614,0.16983488202095032,0.3952379524707794,-2.622864769818989e-08,0.37015095353126526
resnet50,CCRCC,0,nointercept,55849,18371,4,BTF3,0.014439038932323456,-3.094170570373535,0.6064185500144958,-0.3986459970474243,0.2396368533372879,0.2311689406633377,0.38489606976509094,-6.557161924547472e-08,0.6006410717964172
resnet50,CCRCC,0,nointercept,55849,18371,4,CD109,0.2816012501716614,-0.2670325040817261,0.3049756586551666,0.15131977200508118,0.35703882575035095,0.34069958329200745,0.49063730239868164,3.6064392361367936e-08,0.48740237951278687
resnet50,CCRCC,0,nointercept,55849,18371,4,CD14,0.016175827011466026,-0.9656283855438232,0.7475558519363403,-0.07311900705099106,0.4735223054885864,0.2717110216617584,0.6167124509811401,1.4862899888612446e-07,0.7004610300064087
resnet50,CCRCC,0,nointercept,55849,18371,4,CHST15,0.14107468724250793,-0.6686819791793823,0.4433686137199402,0.031040435656905174,0.426510214805603,0.23568277060985565,0.5154651403427124,2.0108629428250424e-07,0.4723576605319977
resnet50,CCRCC,0,nointercept,55849,18371,4,CIB1,0.12845557928085327,-1.4798274040222168,0.7044721841812134,-0.06455373018980026,0.5336077809333801,0.3277764320373535,0.533033549785614,2.53543589678884e-07,0.7433766722679138
resnet50,CCRCC,0,nointercept,55849,18371,4,CKB,0.18521013855934143,-0.6370762586593628,0.7284983396530151,-0.03788856416940689,0.48686012625694275,0.27687087655067444,0.6669981479644775,3.278580962273736e-08,0.5242236852645874
resnet50,CCRCC,0,nointercept,55849,18371,4,CPD,0.16419391334056854,-1.1576297283172607,0.6303184032440186,-0.034733645617961884,0.49838611483573914,0.33747196197509766,0.5404714345932007,2.53543589678884e-07,0.5640750527381897
resnet50,CCRCC,0,nointercept,55849,18371,4,CPE,0.4469442665576935,-1.0235958099365234,2.1241748332977295,0.15374886989593506,1.281748652458191,0.5661779642105103,1.0245916843414307,1.748576572424554e-08,1.101182460784912
resnet50,CCRCC,0,nointercept,55849,18371,4,DERL1,0.2822211682796478,-1.1255755424499512,0.6700631976127625,-0.038530077785253525,0.551719069480896,0.33595335483551025,0.5614963173866272,3.497152931686287e-07,0.6185947060585022
resnet50,CCRCC,0,nointercept,55849,18371,4,DNAJB12,0.07622160017490387,-0.7311743497848511,0.2156272977590561,-0.06943193078041077,0.19344381988048553,0.1776019185781479,0.3528968393802643,6.557161924547472e-08,0.33685410022735596
resnet50,CCRCC,0,nointercept,55849,18371,4,EGFL7,0.00386632583104074,-1.6294476985931396,0.436594158411026,-0.2396061271429062,0.25916171073913574,0.14909543097019196,0.40750932693481445,-6.775734107122844e-08,0.4487183690071106
resnet50,CCRCC,0,nointercept,55849,18371,4,FLNB,0.23906631767749786,-0.9758008718490601,0.6654332280158997,-0.03601967543363571,0.5235467553138733,0.32513466477394104,0.5803722739219666,9.180026694366461e-08,0.635085940361023
resnet50,CCRCC,0,nointercept,55849,18371,4,GADD45B,0.2111499309539795,-1.1410987377166748,0.7932326793670654,-0.10725928097963333,0.5482276678085327,0.22656552493572235,0.6086657047271729,3.934297154728483e-08,0.5517125129699707
resnet50,CCRCC,0,nointercept,55849,18371,4,GPNMB,0.08907590806484222,-0.7501331567764282,0.629160463809967,-0.08613491803407669,0.3970940411090851,0.25093936920166016,0.5995708107948303,5.682873549517353e-08,0.5627884268760681
resnet50,CCRCC,0,nointercept,55849,18371,4,H3F3A,0.01448607537895441,-3.210298538208008,0.6465327143669128,-0.40786880254745483,0.2360963523387909,0.28552499413490295,0.39186713099479675,5.682873549517353e-08,0.7055453062057495
resnet50,CCRCC,0,nointercept,55849,18371,4,HMOX1,0.2618987262248993,-0.6873412132263184,0.834149181842804,-0.10824673622846603,0.5029290914535522,0.19620947539806366,0.7031210064888,2.622864769818989e-08,0.4311843514442444
resnet50,CCRCC,0,nointercept,55849,18371,4,HNRNPK,0.07839257270097733,-3.0341901779174805,0.8388465642929077,-0.3904823362827301,0.3734790086746216,0.256079763174057,0.45600324869155884,2.0108629428250424e-07,0.8356579542160034
resnet50,CCRCC,0,nointercept,55849,18371,4,HSPA1A,-0.13208888471126556,-1.1206884384155273,1.6011087894439697,0.19212095439434052,1.035993218421936,0.2688528299331665,0.8689042329788208,-6.994306289698216e-08,0.6820328235626221
resnet50,CCRCC,0,nointercept,55849,18371,4,HTRA1,0.14424565434455872,-3.1161508560180664,2.5568482875823975,-0.32620468735694885,1.0581694841384888,0.2928209900856018,0.7881587147712708,-4.5900133471832305e-08,0.9139458537101746
resnet50,CCRCC,0,nointercept,55849,18371,4,IFI27,0.12336219102144241,-1.8889765739440918,1.2466163635253906,-0.0987689197063446,0.7394761443138123,0.4259975254535675,0.6569132804870605,1.398861257939643e-07,1.2027190923690796
resnet50,CCRCC,0,nointercept,55849,18371,4,IFI6,0.127900630235672,-1.296997308731079,1.0047904253005981,-0.09308628737926483,0.6172744035720825,0.34887048602104187,0.6614391207695007,1.398861257939643e-07,0.8939899802207947
resnet50,CCRCC,0,nointercept,55849,18371,4,IRF7,0.04273479804396629,-0.942155122756958,0.31268933415412903,-0.12089455127716064,0.23679625988006592,0.17222870886325836,0.4012371599674225,1.5737188618913933e-07,0.33066850900650024
resnet50,CCRCC,0,nointercept,55849,18371,4,ISG15,0.09549643099308014,-0.7449355125427246,0.4087255895137787,-0.06742342561483383,0.32549721002578735,0.19538934528827667,0.4839668571949005,1.748576572424554e-08,0.4916550815105438
resnet50,CCRCC,0,nointercept,55849,18371,4,KRTCAP2,0.09372062236070633,-1.848201036453247,0.5025431513786316,-0.26338547468185425,0.281703382730484,0.21405759453773499,0.4200657308101654,8.742882329215718e-08,0.5391302108764648
resnet50,CCRCC,0,nointercept,55849,18371,4,LAPTM4B,0.24592028558254242,-1.0031983852386475,0.7565614581108093,-0.0383046418428421,0.5739158987998962,0.315254807472229,0.6145338416099548,1.0491459079275955e-07,0.5353134274482727
resnet50,CCRCC,0,nointercept,55849,18371,4,LRRC41,0.2260771542787552,-1.2464711666107178,0.8314120769500732,-0.03524605184793472,0.6136590838432312,0.3807048797607422,0.608378529548645,2.36057829283709e-07,0.8226604461669922
resnet50,CCRCC,0,nointercept,55849,18371,4,LY6E,0.1318189650774002,-3.0171103477478027,1.9611890316009521,-0.23818492889404297,0.926900327205658,0.4443173408508301,0.6987102031707764,3.1474377237827866e-07,1.079782247543335
resnet50,CCRCC,0,nointercept,55849,18371,4,NAMPT,0.12309715896844864,-0.7952653169631958,0.545637845993042,0.047406818717718124,0.5111877918243408,0.24448934197425842,0.5513198971748352,1.398861257939643e-07,0.6358631253242493
resnet50,CCRCC,0,nointercept,55849,18371,4,NOL3,0.1214490458369255,-1.9549734592437744,0.6992202401161194,-0.2866691052913666,0.37024691700935364,0.24506638944149017,0.48639166355133057,4.371441431061385e-09,0.5354296565055847
resnet50,CCRCC,0,nointercept,55849,18371,4,NOTCH3,-0.02468022145330906,-2.1379525661468506,0.6554220914840698,-0.3132845163345337,0.32917729020118713,0.1729743778705597,0.456993967294693,-2.622864769818989e-08,0.5420306921005249
resnet50,CCRCC,0,nointercept,55849,18371,4,NT5DC2,0.058003731071949005,-0.5845843553543091,0.18706926703453064,-0.0059746080078184605,0.1804121732711792,0.20615807175636292,0.34357714653015137,1.0928603444426699e-07,0.34182968735694885
resnet50,CCRCC,0,nointercept,55849,18371,4,PARP10,0.11416461318731308,-1.2738914489746094,0.38643699884414673,-0.1702636480331421,0.27463242411613464,0.1912204921245575,0.412236750125885,1.4425756944547174e-07,0.5014361143112183
resnet50,CCRCC,0,nointercept,55849,18371,4,PTGS1,0.18288283050060272,-0.8671890497207642,0.7888547778129578,-0.042856041342020035,0.5660426020622253,0.21745745837688446,0.6500086188316345,1.0054314714125212e-07,0.3281203508377075
resnet50,CCRCC,0,nointercept,55849,18371,4,PXN,0.15215253829956055,-1.5690901279449463,0.751248300075531,-0.12966591119766235,0.5125220417976379,0.31293362379074097,0.5407484769821167,-2.1857205823039294e-08,0.626606285572052
resnet50,CCRCC,0,nointercept,55849,18371,4,RXRA,0.13693107664585114,-0.6861233711242676,0.37265506386756897,-0.008769587613642216,0.3631996512413025,0.19634412229061127,0.47013112902641296,4.371441164607859e-08,0.428512305021286
resnet50,CCRCC,0,nointercept,55849,18371,4,S100A9,0.05031722038984299,-0.3358795642852783,0.6399497985839844,0.15806102752685547,0.5041909217834473,0.24052834510803223,0.6921295523643494,6.120017559396729e-08,0.4433532655239105
resnet50,CCRCC,0,nointercept,55849,18371,4,SCARB1,0.3176230192184448,-1.345005989074707,1.0251532793045044,-0.1282663196325302,0.6490933895111084,0.37679633498191833,0.6611703634262085,-2.0108629428250424e-07,0.6143035888671875
resnet50,CCRCC,0,nointercept,55849,18371,4,SEMA4B,0.12861651182174683,-0.6859292984008789,0.36922332644462585,0.05549488216638565,0.3488627076148987,0.3205558955669403,0.4679643511772156,2.36057829283709e-07,0.5149420499801636
resnet50,CCRCC,0,nointercept,55849,18371,4,SLC15A4,0.20950248837471008,-0.8391268253326416,0.465837687253952,-0.026534270495176315,0.42174988985061646,0.25613710284233093,0.5032762885093689,1.748576572424554e-08,0.5096741318702698
