encoder,task,fold,head,n_train,n_test,n_test_samples,gene,pearson,r2,mse,mean_pred,mean_target,std_pred,std_target,train_mean_pred,train_mean_target
uni_v1,CCRCC,0,nointercept,55849,18371,4,AKAP8,0.193464994430542,-0.8607808351516724,0.39134448766708374,-0.08281325548887253,0.3477015793323517,0.1481614112854004,0.4586319327354431,4.371441431061385e-09,0.35207951068878174
uni_v1,CCRCC,0,nointercept,55849,18371,4,BLVRB,0.13074658811092377,-1.047311782836914,0.31977763772010803,-0.13362352550029755,0.2520582377910614,0.1839073896408081,0.3952379524707794,-2.1857205823039294e-08,0.37015095353126526
uni_v1,CCRCC,0,nointercept,55849,18371,4,BTF3,0.07386080920696259,-2.842994213104248,0.5692148804664612,-0.3834608793258667,0.2396368533372879,0.2118024379014969,0.38489606976509094,-3.497153144849108e-08,0.6006410717964172
uni_v1,CCRCC,0,nointercept,55849,18371,4,CD109,0.322024941444397,-0.32701122760772705,0.31941261887550354,0.1069825068116188,0.35703882575035095,0.36078575253486633,0.49063730239868164,1.4207183873793383e-08,0.48740237951278687
uni_v1,CCRCC,0,nointercept,55849,18371,4,CD14,-0.038395389914512634,-1.1902921199798584,0.8329986333847046,-0.10913123935461044,0.4735223054885864,0.31357675790786743,0.6167124509811401,8.74288286212277e-09,0.7004610300064087
uni_v1,CCRCC,0,nointercept,55849,18371,4,CHST15,0.13402476906776428,-0.9163943529129028,0.509185791015625,-0.04498643800616264,0.426510214805603,0.23016485571861267,0.5154651403427124,-4.371441431061385e-09,0.4723576605319977
uni_v1,CCRCC,0,nointercept,55849,18371,4,CIB1,0.14951978623867035,-1.8567218780517578,0.8115408420562744,-0.14300766587257385,0.5336077809333801,0.3553054630756378,0.533033549785614,-1.3114323849094944e-08,0.7433766722679138
uni_v1,CCRCC,0,nointercept,55849,18371,4,CKB,0.14720794558525085,-0.7879661321640015,0.7956442832946777,-0.07843966782093048,0.48686012625694275,0.3002670407295227,0.6669981479644775,2.1857207155306924e-09,0.5242236852645874
uni_v1,CCRCC,0,nointercept,55849,18371,4,CPD,0.17331776022911072,-1.0028293132781982,0.5850958228111267,0.21058136224746704,0.49838611483573914,0.5615741610527039,0.5404714345932007,2.622864769818989e-08,0.5640750527381897
uni_v1,CCRCC,0,nointercept,55849,18371,4,CPE,0.5517047047615051,-0.730547308921814,1.8165608644485474,0.24014043807983398,1.281748652458191,0.6021967530250549,1.0245916843414307,2.1857205823039294e-08,1.101182460784912
uni_v1,CCRCC,0,nointercept,55849,18371,4,DERL1,0.4138320982456207,-0.7781705856323242,0.5605477690696716,0.08430211246013641,0.551719069480896,0.5165934562683105,0.5614963173866272,0.0,0.6185947060585022
uni_v1,CCRCC,0,nointercept,55849,18371,4,DNAJB12,0.02911599539220333,-0.9255058765411377,0.23983237147331238,-0.10566326975822449,0.19344381988048553,0.1713251769542694,0.3528968393802643,1.3114323849094944e-08,0.33685410022735596
uni_v1,CCRCC,0,nointercept,55849,18371,4,EGFL7,0.11764676868915558,-1.3990886211395264,0.3983452618122101,-0.20823663473129272,0.25916171073913574,0.17489901185035706,0.40750932693481445,-1.3114323849094944e-08,0.4487183690071106
uni_v1,CCRCC,0,nointercept,55849,18371,4,FLNB,0.18082988262176514,-1.4726417064666748,0.8327650427818298,-0.16322025656700134,0.5235467553138733,0.2928343713283539,0.5803722739219666,-1.9671485773642416e-08,0.635085940361023
uni_v1,CCRCC,0,nointercept,55849,18371,4,GADD45B,0.1945725381374359,-1.0797743797302246,0.7705132365226746,-0.07997891306877136,0.5482276678085327,0.2578016519546509,0.6086657047271729,6.557161924547472e-09,0.5517125129699707
uni_v1,CCRCC,0,nointercept,55849,18371,4,GPNMB,0.09862042218446732,-0.884136438369751,0.677333652973175,-0.11756019294261932,0.3970940411090851,0.29677388072013855,0.5995708107948303,2.1857205823039294e-08,0.5627884268760681
uni_v1,CCRCC,0,nointercept,55849,18371,4,H3F3A,0.0812731608748436,-3.0323486328125,0.6192067265510559,-0.41290026903152466,0.2360963523387909,0.24507255852222443,0.39186713099479675,-3.497153144849108e-08,0.7055453062057495
uni_v1,CCRCC,0,nointercept,55849,18371,4,HMOX1,0.17894770205020905,-0.46135246753692627,0.7224299907684326,0.021436776965856552,0.5029290914535522,0.23557992279529572,0.7031210064888,2.1857205823039294e-08,0.4311843514442444
uni_v1,CCRCC,0,nointercept,55849,18371,4,HNRNPK,0.09316796064376831,-3.0829672813415527,0.8489890098571777,-0.40270790457725525,0.3734790086746216,0.24345900118350983,0.45600324869155884,-5.245729539637978e-08,0.8356579542160034
uni_v1,CCRCC,0,nointercept,55849,18371,4,HSPA1A,-0.07456913590431213,-1.183354139328003,1.6484209299087524,0.1502799391746521,1.035993218421936,0.27157121896743774,0.8689042329788208,4.043583246016169e-08,0.6820328235626221
uni_v1,CCRCC,0,nointercept,55849,18371,4,HTRA1,0.4617127776145935,-2.3904693126678467,2.1060733795166016,-0.21353046596050262,1.0581694841384888,0.37337666749954224,0.7881587147712708,-7.977880045473285e-08,0.9139458537101746
uni_v1,CCRCC,0,nointercept,55849,18371,4,IFI27,0.07300540059804916,-2.7393665313720703,1.613566517829895,-0.28970301151275635,0.7394761443138123,0.40168559551239014,0.6569132804870605,6.994306289698216e-08,1.2027190923690796
uni_v1,CCRCC,0,nointercept,55849,18371,4,IFI6,0.14173418283462524,-1.4648528099060059,1.078216552734375,-0.15100091695785522,0.6172744035720825,0.33718010783195496,0.6614391207695007,5.245729539637978e-08,0.8939899802207947
uni_v1,CCRCC,0,nointercept,55849,18371,4,IRF7,0.05590297281742096,-1.1470024585723877,0.34567004442214966,-0.1756591945886612,0.23679625988006592,0.1451675295829773,0.4012371599674225,0.0,0.33066850900650024
uni_v1,CCRCC,0,nointercept,55849,18371,4,ISG15,0.18494780361652374,-0.7794917821884155,0.41681987047195435,-0.09207528829574585,0.32549721002578735,0.21694785356521606,0.4839668571949005,1.748576572424554e-08,0.4916550815105438
uni_v1,CCRCC,0,nointercept,55849,18371,4,KRTCAP2,0.16582171618938446,-1.696141242980957,0.4757133424282074,-0.25081995129585266,0.281703382730484,0.2129368633031845,0.4200657308101654,-3.934297154728483e-08,0.5391302108764648
uni_v1,CCRCC,0,nointercept,55849,18371,4,LAPTM4B,0.4493118226528168,-0.6083687543869019,0.6074435114860535,0.044455595314502716,0.5739158987998962,0.43644121289253235,0.6145338416099548,-1.748576572424554e-08,0.5353134274482727
uni_v1,CCRCC,0,nointercept,55849,18371,4,LRRC41,0.35323071479797363,-0.8619555234909058,0.6891039609909058,0.03817612677812576,0.6136590838432312,0.39923784136772156,0.608378529548645,2.622864769818989e-08,0.8226604461669922
uni_v1,CCRCC,0,nointercept,55849,18371,4,LY6E,0.08236642181873322,-3.3942646980285645,2.1453189849853516,-0.3128407895565033,0.926900327205658,0.40895065665245056,0.6987102031707764,-1.2240035118793458e-07,1.079782247543335
uni_v1,CCRCC,0,nointercept,55849,18371,4,NAMPT,0.10885582864284515,-0.8028894662857056,0.5479550361633301,0.08559472858905792,0.5111877918243408,0.3178401291370392,0.5513198971748352,8.74288286212277e-09,0.6358631253242493
uni_v1,CCRCC,0,nointercept,55849,18371,4,NOL3,0.138699471950531,-2.1868574619293213,0.7540897727012634,-0.3380473852157593,0.37024691700935364,0.210236057639122,0.48639166355133057,0.0,0.5354296565055847
uni_v1,CCRCC,0,nointercept,55849,18371,4,NOTCH3,0.25675269961357117,-1.5296027660369873,0.5283564925193787,-0.2408599555492401,0.32917729020118713,0.20864452421665192,0.456993967294693,1.0928602911519647e-08,0.5420306921005249
uni_v1,CCRCC,0,nointercept,55849,18371,4,NT5DC2,0.08730500191450119,-0.8500243425369263,0.21840596199035645,-0.10958366841077805,0.1804121732711792,0.16100364923477173,0.34357714653015137,-3.497153144849108e-08,0.34182968735694885
