encoder,task,fold,head,n_train,n_test,n_test_samples,gene,pearson,r2,mse,mean_pred,mean_target,std_pred,std_target,train_mean_pred,train_mean_target
virchow,CCRCC,0,nointercept,55849,18371,4,AKAP8,0.22241626679897308,-0.8180357217788696,0.3823546767234802,-0.07694678008556366,0.3477015793323517,0.14774887263774872,0.4586319327354431,-1.3114323849094944e-08,0.35207951068878174
virchow,CCRCC,0,nointercept,55849,18371,4,BLVRB,0.15859024226665497,-1.3477606773376465,0.36670589447021484,-0.20489773154258728,0.2520582377910614,0.1375933289527893,0.3952379524707794,-1.3114323849094944e-08,0.37015095353126526
virchow,CCRCC,0,nointercept,55849,18371,4,BTF3,0.025232816115021706,-3.2554731369018555,0.6303102970123291,-0.4370211362838745,0.2396368533372879,0.16589497029781342,0.38489606976509094,-1.748576572424554e-08,0.6006410717964172
virchow,CCRCC,0,nointercept,55849,18371,4,CD109,0.3335125744342804,-0.4720289707183838,0.3543184995651245,0.002380470745265484,0.35703882575035095,0.28441280126571655,0.49063730239868164,-3.387867053561422e-08,0.48740237951278687
virchow,CCRCC,0,nointercept,55849,18371,4,CD14,0.1643131673336029,-1.2299344539642334,0.8480750918388367,-0.19465728104114532,0.4735223054885864,0.2789487838745117,0.6167124509811401,-6.994306289698216e-08,0.7004610300064087
virchow,CCRCC,0,nointercept,55849,18371,4,CHST15,0.20838318765163422,-0.961074709892273,0.5210573673248291,-0.07877887040376663,0.426510214805603,0.2150031477212906,0.5154651403427124,-4.371441164607859e-08,0.4723576605319977
virchow,CCRCC,0,nointercept,55849,18371,4,CIB1,0.17245212197303772,-2.042351245880127,0.8642746210098267,-0.19918590784072876,0.5336077809333801,0.3191111981868744,0.533033549785614,-8.74288286212277e-09,0.7433766722679138
virchow,CCRCC,0,nointercept,55849,18371,4,CKB,0.2439560443162918,-0.77430260181427,0.7895640730857849,-0.11265788227319717,0.48686012625694275,0.2710573971271515,0.6669981479644775,-4.371441164607859e-08,0.5242236852645874
virchow,CCRCC,0,nointercept,55849,18371,4,CPD,0.1847570538520813,-0.969008207321167,0.5752155184745789,0.07750187814235687,0.49838611483573914,0.4403451979160309,0.5404714345932007,6.120017559396729e-08,0.5640750527381897
virchow,CCRCC,0,nointercept,55849,18371,4,CPE,0.3564487397670746,-1.52229642868042,2.647662401199341,-0.0240034107118845,1.281748652458191,0.527289867401123,1.0245916843414307,-2.622864769818989e-08,1.101182460784912
virchow,CCRCC,0,nointercept,55849,18371,4,DERL1,0.39207789301872253,-1.0183367729187012,0.6362574100494385,-0.016658401116728783,0.551719069480896,0.4355356693267822,0.5614963173866272,3.497153144849108e-08,0.6185947060585022
virchow,CCRCC,0,nointercept,55849,18371,4,DNAJB12,0.052021514624357224,-1.032416820526123,0.2531487047672272,-0.13396216928958893,0.19344381988048553,0.16585734486579895,0.3528968393802643,-8.74288286212277e-09,0.33685410022735596
virchow,CCRCC,0,nointercept,55849,18371,4,EGFL7,0.14332795143127441,-1.6693966388702393,0.44322729110717773,-0.26411470770835876,0.25916171073913574,0.14060461521148682,0.40750932693481445,-3.934297154728483e-08,0.4487183690071106
virchow,CCRCC,0,nointercept,55849,18371,4,FLNB,0.27376896142959595,-1.4169740676879883,0.8140166401863098,-0.1674565225839615,0.5235467553138733,0.3168376684188843,0.5803722739219666,-4.808585529758602e-08,0.635085940361023
virchow,CCRCC,0,nointercept,55849,18371,4,GADD45B,0.1976841390132904,-1.1528568267822266,0.7975887656211853,-0.10676394402980804,0.5482276678085327,0.23248089849948883,0.6086657047271729,-1.748576572424554e-08,0.5517125129699707
virchow,CCRCC,0,nointercept,55849,18371,4,GPNMB,0.4253072142601013,-0.9721094369888306,0.7089593410491943,-0.2466840147972107,0.3970940411090851,0.2620900869369507,0.5995708107948303,-6.557161924547472e-08,0.5627884268760681
virchow,CCRCC,0,nointercept,55849,18371,4,H3F3A,0.12824647128582,-3.447841167449951,0.683009684085846,-0.47336265444755554,0.2360963523387909,0.21949759125709534,0.39186713099479675,-4.371441164607859e-08,0.7055453062057495
virchow,CCRCC,0,nointercept,55849,18371,4,HMOX1,0.3311164081096649,-0.5975315570831299,0.7897511124610901,-0.08538537472486496,0.5029290914535522,0.17398054897785187,0.7031210064888,-4.371441431061385e-09,0.4311843514442444
virchow,CCRCC,0,nointercept,55849,18371,4,HNRNPK,0.0966649278998375,-3.249222755432129,0.8835592269897461,-0.4340225160121918,0.3734790086746216,0.2037847340106964,0.45600324869155884,-5.245729539637978e-08,0.8356579542160034
virchow,CCRCC,0,nointercept,55849,18371,4,HSPA1A,-0.08905045688152313,-1.2769455909729004,1.719081997871399,0.1094713807106018,1.035993218421936,0.2567406892776489,0.8689042329788208,-3.497153144849108e-08,0.6820328235626221
virchow,CCRCC,0,nointercept,55849,18371,4,HTRA1,0.22010080516338348,-3.3840413093566895,2.723254919052124,-0.39738282561302185,1.0581694841384888,0.2897811233997345,0.7881587147712708,6.830376975131003e-08,0.9139458537101746
virchow,CCRCC,0,nointercept,55849,18371,4,IFI27,0.1513778120279312,-2.653935194015503,1.5767021179199219,-0.28892797231674194,0.7394761443138123,0.41159212589263916,0.6569132804870605,-6.120017559396729e-08,1.2027190923690796
virchow,CCRCC,0,nointercept,55849,18371,4,IFI6,0.1849943995475769,-1.3983383178710938,1.0491206645965576,-0.14378352463245392,0.6172744035720825,0.3400404751300812,0.6614391207695007,-8.742882329215718e-08,0.8939899802207947
virchow,CCRCC,0,nointercept,55849,18371,4,IRF7,0.10511662811040878,-1.1032772064208984,0.33863019943237305,-0.17624682188034058,0.23679625988006592,0.13606463372707367,0.4012371599674225,-2.622864769818989e-08,0.33066850900650024
virchow,CCRCC,0,nointercept,55849,18371,4,ISG15,0.20638076961040497,-0.9109807014465332,0.44761922955513,-0.13664786517620087,0.32549721002578735,0.19884800910949707,0.4839668571949005,-2.1857205823039294e-08,0.4916550815105438
virchow,CCRCC,0,nointercept,55849,18371,4,KRTCAP2,0.10693784803152084,-2.1624033451080322,0.5579816699028015,-0.32398656010627747,0.281703382730484,0.17408619821071625,0.4200657308101654,-4.371441431061385e-09,0.5391302108764648
virchow,CCRCC,0,nointercept,55849,18371,4,LAPTM4B,0.4292943477630615,-0.7916666269302368,0.6766708493232727,-0.027718083932995796,0.5739158987998962,0.34540483355522156,0.6145338416099548,3.497153144849108e-08,0.5353134274482727
virchow,CCRCC,0,nointercept,55849,18371,4,LRRC41,0.38047870993614197,-1.1671311855316162,0.8020485639572144,-0.05463505908846855,0.6136590838432312,0.4286744296550751,0.608378529548645,-1.748576572424554e-08,0.8226604461669922
virchow,CCRCC,0,nointercept,55849,18371,4,LY6E,0.14397145807743073,-3.7504472732543945,2.3192105293273926,-0.40578964352607727,0.926900327205658,0.35567227005958557,0.6987102031707764,-8.30573867460771e-08,1.079782247543335
virchow,CCRCC,0,nointercept,55849,18371,4,NAMPT,0.15129698812961578,-0.926385760307312,0.5854895114898682,0.01623186096549034,0.5111877918243408,0.2920076549053192,0.5513198971748352,1.748576572424554e-08,0.6358631253242493
virchow,CCRCC,0,nointercept,55849,18371,4,NOL3,0.11518601328134537,-2.350940704345703,0.792915940284729,-0.36606183648109436,0.37024691700935364,0.1876581907272339,0.48639166355133057,-4.808585529758602e-08,0.5354296565055847
virchow,CCRCC,0,nointercept,55849,18371,4,NOTCH3,0.18907690048217773,-1.8488414287567139,0.5950356721878052,-0.29253268241882324,0.32917729020118713,0.1708759218454361,0.456993967294693,-8.74288286212277e-09,0.5420306921005249
virchow,CCRCC,0,nointercept,55849,18371,4,NT5DC2,0.1342819482088089,-0.7254297733306885,0.20369687676429749,-0.09231988340616226,0.1804121732711792,0.16188576817512512,0.34357714653015137,-1.3114323849094944e-08,0.34182968735694885
virchow,CCRCC,0,nointercept,55849,18371,4,PARP10,0.1437712013721466,-1.5950851440429688,0.4410223364830017,-0.23761165142059326,0.27463242411613464,0.16972628235816956,0.412236750125885,-6.120017559396729e-08,0.5014361143112183
virchow,CCRCC,0,nointercept,55849,18371,4,PTGS1,0.3960813283920288,-0.6667871475219727,0.7041884660720825,-0.023762080818414688,0.5660426020622253,0.2479725331068039,0.6500086188316345,-1.748576572424554e-08,0.3281203508377075
virchow,CCRCC,0,nointercept,55849,18371,4,PXN,0.18756811320781708,-2.2939107418060303,0.9631989598274231,-0.29587680101394653,0.5125220417976379,0.2674640119075775,0.5407484769821167,-2.1857205823039294e-08,0.626606285572052
virchow,CCRCC,0,nointercept,55849,18371,4,RXRA,0.10545507818460464,-0.8285273313522339,0.40412816405296326,-0.0455920547246933,0.3631996512413025,0.185418501496315,0.47013112902641296,-2.1857205823039294e-08,0.428512305021286
virchow,CCRCC,0,nointercept,55849,18371,4,S100A9,0.31369641423225403,-0.294827938079834,0.6202840805053711,0.07019785791635513,0.5041909217834473,0.22268077731132507,0.6921295523643494,-2.1857205823039294e-08,0.4433532655239105
virchow,CCRCC,0,nointercept,55849,18371,4,SCARB1,0.5042404532432556,-1.3268370628356934,1.017210602760315,-0.1822088360786438,0.6490933895111084,0.34567373991012573,0.6611703634262085,0.0,0.6143035888671875
virchow,CCRCC,0,nointercept,55849,18371,4,SEMA4B,0.19041100144386292,-0.9115397930145264,0.4186326563358307,-0.04433665797114372,0.3488627076148987,0.3192708492279053,0.4679643511772156,2.1857207155306924e-09,0.5149420499801636
virchow,CCRCC,0,nointercept,55849,18371,4,SLC15A4,0.30500897765159607,-0.8481314182281494,0.46811848878860474,-0.05378853529691696,0.42174988985061646,0.26421961188316345,0.5032762885093689,2.622864769818989e-08,0.5096741318702698
virchow,CCRCC,0,nointercept,55849,18371,4,SLC39A14,0.4142412543296814,-1.1647064685821533,0.9159550070762634,-0.013073189184069633,0.7174714207649231,0.44746094942092896,0.6505404114723206,2.622864769818989e-08,0.7381115555763245
