task,conch_v1,conch_v15,ctranspath,gigapath,hoptimus0,hoptimus1,phikon,resnet50,uni_v1,uni_v2,virchow,virchow2,worst_encoder_mean,max_single_gene,verdict
CCRCC,0.0016241134509133,0.0024613786713841,0.0006378792565719,0.000463915055679,0.0004557363820883,0.0004638515412807,0.0007252431522081,0.000440469989165,0.0003057818254455,0.0003862077816544,0.000555312007976,0.0004931690977385,0.0024613786713841,0.0109688639640808,between
COAD,0.0031098284106701,0.002266694009304,0.0014816388520394,0.0005338613213194,0.0006700851442292,0.000458820516942,0.0010191863455917,0.000569318421185,0.0005245731491595,0.0004367900267243,0.0013507961528375,0.0012329562128257,0.0031098284106701,0.0196568518877029,between
HCC,0.0014486552208836,0.0012504009064286,0.0006383067670768,0.0002629583544386,0.0003997898427769,0.000325627757702,0.0004730955200311,0.0002562629251042,0.0002718235575594,0.0002288630520342,0.0003859328804537,0.0003944950132391,0.0014486552208836,0.0078449137508869,between
IDC,0.001208468247205,0.0011326577700674,0.0007953189586508,0.0003103331089528,0.0003142384067177,0.0002848270442336,0.0005418795127676,0.0003469812218099,0.0002467440837062,0.0002488784864544,0.0004606769536621,0.0004512992146044,0.001208468247205,0.0086145149033168,between
LUNG,0.0024598138779401,0.0016096954420208,0.0007591710535406,0.0004643522125089,0.0005975677818059,0.0004924777895212,0.0009435881563913,0.0005809712409973,0.000405897879973,0.0004005666077136,0.0010361067950725,0.0007219435647356,0.0024598138779401,0.0122385919094085,between
LYMPH_IDC,0.001173163766507,0.0010658500366844,0.0004124751696223,0.0003267822255251,0.0003465627036348,0.0003157540687243,0.0003678672205032,0.0003172804386122,0.0001928610930917,0.0002041926066158,0.0004880164563655,0.0003845468356878,0.001173163766507,0.0087040066719055,between
PAAD,0.002432745595773,0.0016532089312871,0.0006127084660345,0.0004518158024073,0.0004917299747467,0.0004691904534896,0.0006719069692393,0.0004185529177387,0.0003059165676434,0.0003408113121986,0.0007411971191565,0.0008241881236589,0.002432745595773,0.0276471972465515,between
PRAD,0.0006620328128337,0.000949980020523,0.0003371020318877,0.000161266794314,0.0005609594285488,0.0003162401914596,0.0005910894166116,0.0002594675868749,0.0003846080228686,0.0004224563390016,0.0004098668694496,0.0003510064368551,0.000949980020523,0.0036596655845642,footnote
READ,0.0016856486489996,0.0016012491529545,0.0005644401297071,0.000439388489762,0.0004750843974761,0.0004223755432758,0.0006036088899414,0.0003377720739808,0.0004305180907249,0.000393262701109,0.0005632305948529,0.0006809533464205,0.0016856486489996,0.0072914734482765,between
SKCM,0.0020874294172972,0.0029020565468817,0.0008290516279791,0.0005230346736908,0.0006579417921602,0.0005418387707322,0.0009966515758466,0.0004328233655542,0.0003797017596662,0.0004059509560465,0.0012936668097972,0.0010026463899289,0.0029020565468817,0.0160625576972961,between
