task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.0006378792565719423,0.003087868085875023,300,ctranspath,footnote
COAD,0.0014816388520394312,0.010296022716529796,100,ctranspath,between
HCC,0.0006383067670768566,0.004561621885982289,100,ctranspath,footnote
IDC,0.000795318958650827,0.008614514903316883,200,ctranspath,footnote
LUNG,0.0007591710535406096,0.004696159362497565,100,ctranspath,footnote
LYMPH_IDC,0.0004124751696223466,0.004832375152330537,200,ctranspath,footnote
PAAD,0.0006127084660345694,0.003235473105185682,150,ctranspath,footnote
PRAD,0.000337102031887752,0.001622422683042718,100,ctranspath,footnote
READ,0.0005644401297071388,0.002254338467874109,100,ctranspath,footnote
SKCM,0.0008290516279791957,0.007022317295450942,100,ctranspath,footnote
