task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.0004557363820883135,0.003787010908126831,300,hoptimus0,footnote
COAD,0.0006700851442292332,0.0026282458566129208,100,hoptimus0,footnote
HCC,0.0003997898427769542,0.0024863779544830322,100,hoptimus0,footnote
IDC,0.00031423840671777724,0.0019386708736419678,200,hoptimus0,footnote
LUNG,0.0005975677818059921,0.0038650035858154297,100,hoptimus0,footnote
LYMPH_IDC,0.00034656270363484507,0.0024923086166381836,200,hoptimus0,footnote
PAAD,0.0004917299747467041,0.002540498971939087,150,hoptimus0,footnote
PRAD,0.0005609594285488128,0.003523916006088257,100,hoptimus0,footnote
READ,0.0004750843974761665,0.0025596022605895996,100,hoptimus0,footnote
SKCM,0.0006579417921602726,0.004356026649475098,100,hoptimus0,footnote
