task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.0003057818254455924,0.002477973699569702,300,uni_v1,footnote
COAD,0.0005245731491595507,0.003457985818386078,100,uni_v1,footnote
HCC,0.0002718235575594008,0.0014374032616615295,100,uni_v1,footnote
IDC,0.00024674408370628953,0.001786261796951294,200,uni_v1,footnote
LUNG,0.00040589787997305396,0.0025266408920288086,100,uni_v1,footnote
LYMPH_IDC,0.00019286109309177846,0.0017383694648742676,200,uni_v1,footnote
PAAD,0.0003059165676434835,0.0019692182540893555,150,uni_v1,footnote
PRAD,0.00038460802286863324,0.0011909008026123047,100,uni_v1,footnote
READ,0.0004305180907249451,0.002695336937904358,100,uni_v1,footnote
SKCM,0.00037970175966620443,0.0018610954284667969,100,uni_v1,footnote
