task,mean_abs_dpearson,max_abs_dpearson,count,encoder,verdict
CCRCC,0.0004931690977385163,0.00364117448397816,300,virchow2,footnote
COAD,0.0012329562128257842,0.009883115698764905,100,virchow2,between
HCC,0.0003944950132391958,0.0023760770682515475,100,virchow2,footnote
IDC,0.00045129921460447265,0.0027018021936869863,200,virchow2,footnote
LUNG,0.0007219435647356984,0.004457668121901126,100,virchow2,footnote
LYMPH_IDC,0.00038454683568780047,0.005533871012039615,200,virchow2,footnote
PAAD,0.0008241881236589259,0.010514345869959085,150,virchow2,footnote
PRAD,0.00035100643685511703,0.0020900648924374043,100,virchow2,footnote
READ,0.0006809533464205692,0.0037866471451684786,100,virchow2,footnote
SKCM,0.0010026463899289963,0.007196752787168248,100,virchow2,between
