encoder,task,fold,n_train,n_test,n_train_samples,n_common_genes,n_genes_shared,n_fold_genes_used,n_fold_genes_off_panel,genes_off_panel,pearson_pooled_shipped,pearson_pooled_fold,pearson_within_shipped,pearson_within_fold,delta_pooled,delta_within,mean_within_only_in_shipped,mean_within_only_in_fold,genes_only_in_shipped,genes_only_in_fold
hoptimus0,CCRCC,0,55849,18371,20,2255,40,50,0,,0.2079744165907239,0.21584415111299862,0.15981209554094683,0.16391340540974841,-0.007869734522274713,-0.004101309868801584,0.16183233208947764,0.18233888143348556,BLVRB;CD14;HMOX1;HNRNPK;HSPA1A;IFI27;KRTCAP2;NOTCH3;TFRC;TRBC1,ATP5MPL;EVL;FAM13A;FOXJ3;HMGN3;HPS4;LGMN;LIPA;PDZD8;SMIM3
hoptimus0,CCRCC,1,67651,6569,20,2248,43,50,0,,0.2847706013335754,0.3063573271056079,0.2608980745848202,0.27603416295586697,-0.021586725772032522,-0.015136088371046741,0.25600731146084066,0.36412222839688896,BLVRB;CPE;EGFL7;NOTCH3;TFRC;TP53INP1;TRBC1,FOXJ3;HPS4;LAPTM4A;MAF;NDRG1;PDZD8;VAPA
hoptimus0,CCRCC,2,63464,10756,20,2265,40,50,0,,0.2689984110057616,0.24944735908524612,0.14067804634929373,0.14773264413028656,0.019551051920515483,-0.007054597780992822,0.1438046461688463,0.17907763507381036,BLVRB;BTF3;CPE;HTRA1;NOTCH3;NT5DC2;SLC39A14;TMEM91;TP53INP1;TRBC1,C1QA;EZR;GLUD1;GRN;HPS4;LAPTM4A;MAFB;PDZD8;PHB;RRAD
hoptimus0,CCRCC,3,67098,7122,20,4519,12,50,0,,0.2825885364440347,0.1768907610811128,0.28995001709726465,0.16848991807542948,0.10569777536292191,0.12146009902183516,0.31027775115847317,0.1504618313929005,AKAP8;BLVRB;CD109;CD14;CHST15;CIB1;CKB;CPD;CPE;DERL1;DNAJB12;FLNB;GADD45B;H3F3A;HNRNPK;IFI27;IFI6;IRF7;KRTCAP2;LAPTM4B;LRRC41;LY6E;NAMPT;NOL3;NOTCH3;PARP10;PXN;RXRA;SEMA4B;SLC15A4;SLC39A14;STK39;TFRC;TM2D3;TMEM91;TP53INP1;TRBC1;VMP1,ABCB6;ADA2;ANK2;ATP5MPL;BAIAP2;C11orf96;CLEC2B;COX7A1;ENPP2;HLA-DOA;HSPA1B;HYAL2;IER3;IGFBP2;IGFBP6;KCNJ15;KPNA2;LIPA;LRIG1;MAFB;MAGED2;MEGF6;MICOS13;MX1;NAV1;NLRC5;OAS3;PROS1;PTPN18;PYGB;RALA;RRAD;SAMD9L;SDC3;SIGLEC10;SNX7;ST14;TNFRSF6B
hoptimus0,CCRCC,4,59472,14748,20,2314,38,50,0,,0.2525078344877035,0.24905351800039496,0.15920600353610892,0.1667377766941074,0.003454316487308512,-0.007531773157998467,0.16587118502233808,0.19725357318066514,AKAP8;BLVRB;CD14;CPE;HNRNPK;HTRA1;IFI27;KRTCAP2;LY6E;NOTCH3;TMEM91;TP53INP1,APOC1;ATP5MPL;CCND1;CYBB;HMGN3;HPS4;HSF4;MT1X;PDZD8;PGF;PLCG2;SERINC2
hoptimus0,CCRCC,5,57566,16654,20,2313,35,50,0,,0.30923673821118935,0.3483430101879473,0.1919497591417265,0.21147575045538147,-0.03910627197675792,-0.019525991313654983,0.20786237963162393,0.2729490173438071,AKAP8;BLVRB;CD109;CD14;CPE;HNRNPK;HTRA1;IFI27;KRTCAP2;NOTCH3;SLC39A14;TFRC;TMEM91;TP53INP1;TRBC1,ALDH18A1;ARL4C;B4GALT1;CD24;CYBB;FOXJ3;HPS4;LIPA;MDK;MMP14;MT1X;PDZD8;RALA;RRAD;SREBF1
hoptimus0,COAD,0,5079,10572,1,425,20,43,7,CCL11;CXCL14;SFRP4;CADM2;CXCL1;CDH19;CR2,0.3087597714871141,0.3449579921539475,0.3073225733074446,0.3532227450562987,-0.036198220666833425,-0.04590017174885408,0.3058249743843048,0.39118253599629826,AQP8;AREG;CA1;CA4;CCL20;CCR7;CEACAM6;CEACAM7;CHGB;CHI3L2;CLCA1;CLCA4;COL11A1;DUOX2;GATA2;GCG;GUCA2A;GUCA2B;HEPACAM2;INSL5;ITLN1;MS4A12;NXPE4;OTOP2;RETNLB;SCG2;SLC26A3;TMIGD1;TYMS;UGT2B17,RGS5;CXCR5;IDO1;REG4;SOD3;CEACAM5;FCER2;MFAP5;CLU;PIGR;XCL2;CD79A;MUC12;SPDEF;GZMK;CXCL11;PAX5;CD40LG;ANPEP;SCG3;UCN3;TFF1;MT1A
hoptimus0,COAD,1,10572,5079,3,452,32,36,14,CHI3L1;Clonotype1_TRB;DAB2;DES;MMP11;MMP12;MMP7;MUC17;REG1A;REG3A;SPP1;UnassignedCodeword_0175;UnassignedCodeword_0266;UnassignedCodeword_0282,0.30842893795133786,0.30323950525354526,0.30842893795133786,0.30323950525354526,0.005189432697792595,0.005189432697792595,0.38388413304374525,0.6012723236671779,AREG;CCL20;CCR7;CD177;CEACAM6;CTSE;DMBT1;GATA2;GUCA2B;HEPACAM2;LCN2;MS4A12;NXPE4;OLFM4;PI3;RETNLB;TYMS;UGT2B17,ANPEP;CA2;CXCL11;LGR5
hoptimus0,HCC,0,1941,2255,1,10637,23,50,0,,0.07353268736309117,0.07588330207443333,0.07353268736309117,0.07588330207443333,-0.0023506147113421666,-0.0023506147113421666,0.10000088163757309,0.1043538718437623,ASPM;BEST1;C11orf96;CAVIN3;CCN1;ETNPPL;FBLN5;IGFBP5;LRRC75A;LTBP2;MCAM;MFAP4;MGP;MUSTN1;MYL9;NDUFA4L2;PDE9A;PHKG1;PPP1R14A;PRELP;RBP7;RND1;S100A4;SPARCL1;TCEAL9;TRBC2;TSPAN13,S100A6;CRP;RGS5;COL3A1;TM4SF1;IGFBP7;JCHAIN;C9;C7;CCDC152;COL1A2;CYP3A4;VIM;ADIRF;SAA2;LUM;CRIP1;IGHG3;NPW;TAT-AS1;COL1A1;FSTL3;NOTCH3;TFF3;CLDN5;IGLC3;TIMP1
hoptimus0,HCC,1,2255,1941,1,11464,25,50,0,,0.08481132191019604,0.09047978424174291,0.08481132191019604,0.09047978424174291,-0.005668462331546872,-0.005668462331546872,0.0779443674957687,0.08905300795259954,AEBP1;ASPM;BEST1;CAVIN3;CXCL10;ETNPPL;FBLN2;GJA4;IGFBP5;JAG1;LRRC75A;LTBP2;MCAM;MGP;MUSTN1;MYL9;NDUFA4L2;PDE9A;PDZK1IP1;PPP1R14A;PRELP;RBP7;RND1;TCEAL9;TSPAN13,GJA5;REG1A;REG3A;CCDC152;HIST1H1C;PGC;GSTA2;CCN2;AGR2;IGFBP1;IGFBP3;CYP3A7;CCL19;MMP7;POSTN;IGHG4;CEMIP;NPW;MYH11;MT1E;MT1H;COL1A1;GDF15;COMP;CYP2A7
