encoder,task,fold,n_train,n_test,n_train_samples,n_common_genes,n_genes_shared,n_fold_genes_used,n_fold_genes_off_panel,genes_off_panel,pearson_pooled_shipped,pearson_pooled_fold,pearson_within_shipped,pearson_within_fold,delta_pooled,delta_within,mean_within_only_in_shipped,mean_within_only_in_fold,genes_only_in_shipped,genes_only_in_fold
virchow,CCRCC,0,55849,18371,20,2255,40,50,0,,0.22022200084595864,0.23959244071572758,0.16810204763206357,0.17296677674866903,-0.01937043986976894,-0.00486472911660546,0.15654785645179534,0.18087150203482252,BLVRB;CD14;HMOX1;HNRNPK;HSPA1A;IFI27;KRTCAP2;NOTCH3;TFRC;TRBC1,ATP5MPL;EVL;FAM13A;FOXJ3;HMGN3;HPS4;LGMN;LIPA;PDZD8;SMIM3
virchow,CCRCC,1,67651,6569,20,2248,43,50,0,,0.23875099432240032,0.2570325033344553,0.25618139747330176,0.2676583907372988,-0.018281509012054997,-0.011476993263997037,0.26583872313638335,0.3478172464506478,BLVRB;CPE;EGFL7;NOTCH3;TFRC;TP53INP1;TRBC1,FOXJ3;HPS4;LAPTM4A;MAF;NDRG1;PDZD8;VAPA
virchow,CCRCC,2,63464,10756,20,2265,40,50,0,,0.24751976039165896,0.24392433024584315,0.14999228785409363,0.15760483193605432,0.0035954301458158144,-0.007612544081960687,0.15313532985915504,0.19119805026895853,BLVRB;BTF3;CPE;HTRA1;NOTCH3;NT5DC2;SLC39A14;TMEM91;TP53INP1;TRBC1,C1QA;EZR;GLUD1;GRN;HPS4;LAPTM4A;MAFB;PDZD8;PHB;RRAD
virchow,CCRCC,3,67098,7122,20,4519,12,50,0,,0.3061248497353666,0.1856958471925285,0.29634506256832316,0.1885597931547837,0.12042900254283809,0.10778526941353947,0.3145805922008174,0.17275786928826542,AKAP8;BLVRB;CD109;CD14;CHST15;CIB1;CKB;CPD;CPE;DERL1;DNAJB12;FLNB;GADD45B;H3F3A;HNRNPK;IFI27;IFI6;IRF7;KRTCAP2;LAPTM4B;LRRC41;LY6E;NAMPT;NOL3;NOTCH3;PARP10;PXN;RXRA;SEMA4B;SLC15A4;SLC39A14;STK39;TFRC;TM2D3;TMEM91;TP53INP1;TRBC1;VMP1,ABCB6;ADA2;ANK2;ATP5MPL;BAIAP2;C11orf96;CLEC2B;COX7A1;ENPP2;HLA-DOA;HSPA1B;HYAL2;IER3;IGFBP2;IGFBP6;KCNJ15;KPNA2;LIPA;LRIG1;MAFB;MAGED2;MEGF6;MICOS13;MX1;NAV1;NLRC5;OAS3;PROS1;PTPN18;PYGB;RALA;RRAD;SAMD9L;SDC3;SIGLEC10;SNX7;ST14;TNFRSF6B
virchow,CCRCC,4,59472,14748,20,2314,38,50,0,,0.24823630277769332,0.24476160791235238,0.15152512736491047,0.15895702879391801,0.003474694865340938,-0.0074319014290075425,0.15710771036841148,0.1880739663226095,AKAP8;BLVRB;CD14;CPE;HNRNPK;HTRA1;IFI27;KRTCAP2;LY6E;NOTCH3;TMEM91;TP53INP1,APOC1;ATP5MPL;CCND1;CYBB;HMGN3;HPS4;HSF4;MT1X;PDZD8;PGF;PLCG2;SERINC2
virchow,CCRCC,5,57566,16654,20,2313,35,50,0,,0.2896573168754221,0.32481289542596864,0.18878777904633984,0.20941466613152904,-0.03515557855054652,-0.0206268870851892,0.20351209379190602,0.27226838407587006,AKAP8;BLVRB;CD109;CD14;CPE;HNRNPK;HTRA1;IFI27;KRTCAP2;NOTCH3;SLC39A14;TFRC;TMEM91;TP53INP1;TRBC1,ALDH18A1;ARL4C;B4GALT1;CD24;CYBB;FOXJ3;HPS4;LIPA;MDK;MMP14;MT1X;PDZD8;RALA;RRAD;SREBF1
virchow,COAD,0,5079,10572,1,425,20,43,7,CCL11;CXCL14;SFRP4;CADM2;CXCL1;CDH19;CR2,0.30839177489048014,0.3722646727828437,0.30946499438025893,0.3704844795995869,-0.06387289789236356,-0.061019485219327985,0.3264335561403175,0.4456777902775969,AQP8;AREG;CA1;CA4;CCL20;CCR7;CEACAM6;CEACAM7;CHGB;CHI3L2;CLCA1;CLCA4;COL11A1;DUOX2;GATA2;GCG;GUCA2A;GUCA2B;HEPACAM2;INSL5;ITLN1;MS4A12;NXPE4;OTOP2;RETNLB;SCG2;SLC26A3;TMIGD1;TYMS;UGT2B17,RGS5;CXCR5;IDO1;REG4;SOD3;CEACAM5;FCER2;MFAP5;CLU;PIGR;XCL2;CD79A;MUC12;SPDEF;GZMK;CXCL11;PAX5;CD40LG;ANPEP;SCG3;UCN3;TFF1;MT1A
virchow,COAD,1,10572,5079,3,452,32,36,14,CHI3L1;Clonotype1_TRB;DAB2;DES;MMP11;MMP12;MMP7;MUC17;REG1A;REG3A;SPP1;UnassignedCodeword_0175;UnassignedCodeword_0266;UnassignedCodeword_0282,0.3073139192240738,0.29416702439496145,0.3073139192240738,0.29416702439496145,0.013146894829112354,0.013146894829112354,0.3944997781217874,0.5813280257832796,AREG;CCL20;CCR7;CD177;CEACAM6;CTSE;DMBT1;GATA2;GUCA2B;HEPACAM2;LCN2;MS4A12;NXPE4;OLFM4;PI3;RETNLB;TYMS;UGT2B17,ANPEP;CA2;CXCL11;LGR5
virchow,HCC,0,1941,2255,1,10637,23,50,0,,0.06541736184085406,0.06467026798604013,0.06541736184085406,0.06467026798604013,0.0007470938548139322,0.0007470938548139322,0.0798658658050163,0.07848235866647198,ASPM;BEST1;C11orf96;CAVIN3;CCN1;ETNPPL;FBLN5;IGFBP5;LRRC75A;LTBP2;MCAM;MFAP4;MGP;MUSTN1;MYL9;NDUFA4L2;PDE9A;PHKG1;PPP1R14A;PRELP;RBP7;RND1;S100A4;SPARCL1;TCEAL9;TRBC2;TSPAN13,S100A6;CRP;RGS5;COL3A1;TM4SF1;IGFBP7;JCHAIN;C9;C7;CCDC152;COL1A2;CYP3A4;VIM;ADIRF;SAA2;LUM;CRIP1;IGHG3;NPW;TAT-AS1;COL1A1;FSTL3;NOTCH3;TFF3;CLDN5;IGLC3;TIMP1
virchow,HCC,1,2255,1941,1,11464,25,50,0,,0.10097536433159153,0.10164229106817822,0.10097536433159153,0.10164229106817822,-0.0006669267365866927,-0.0006669267365866927,0.07692530602238767,0.07380522967220535,AEBP1;ASPM;BEST1;CAVIN3;CXCL10;ETNPPL;FBLN2;GJA4;IGFBP5;JAG1;LRRC75A;LTBP2;MCAM;MGP;MUSTN1;MYL9;NDUFA4L2;PDE9A;PDZK1IP1;PPP1R14A;PRELP;RBP7;RND1;TCEAL9;TSPAN13,GJA5;REG1A;REG3A;CCDC152;HIST1H1C;PGC;GSTA2;CCN2;AGR2;IGFBP1;IGFBP3;CYP3A7;CCL19;MMP7;POSTN;IGHG4;CEMIP;NPW;MYH11;MT1E;MT1H;COL1A1;GDF15;COMP;CYP2A7
