encoder,task,design,fold,repeat,grid,n_train,median_nn_train_dist
uni_v2,CCRCC,blocked,0,0,4,54026,875.0005714283849
uni_v2,CCRCC,blocked_buffered,0,0,4,47923,1316.506361549385
uni_v2,CCRCC,blocked,0,0,6,54755,580.3283553299804
uni_v2,CCRCC,blocked_buffered,0,0,6,45250,1001.0044954944009
uni_v2,CCRCC,blocked,0,0,10,55501,380.0
uni_v2,CCRCC,blocked_buffered,0,0,10,38612,761.0006570299397
uni_v2,CCRCC,blocked,0,1,4,53591,956.2327122620309
uni_v2,CCRCC,blocked_buffered,0,1,4,47595,1334.7074585840899
uni_v2,CCRCC,blocked,0,1,6,54776,580.2348587066977
uni_v2,CCRCC,blocked_buffered,0,1,6,45001,957.3405872519978
uni_v2,CCRCC,blocked,0,1,10,55428,380.0
uni_v2,CCRCC,blocked_buffered,0,1,10,39244,787.2712366141672
uni_v2,CCRCC,blocked,0,2,4,53974,875.0
uni_v2,CCRCC,blocked_buffered,0,2,4,47783,1312.0003810975056
uni_v2,CCRCC,blocked,0,2,6,54935,580.3283553299804
uni_v2,CCRCC,blocked_buffered,0,2,6,45281,957.3405872519978
uni_v2,CCRCC,blocked,0,2,10,55311,380.0
uni_v2,CCRCC,blocked_buffered,0,2,10,38841,787.0304949619169
uni_v2,CCRCC,blocked,0,3,4,52955,874.0005720821927
uni_v2,CCRCC,blocked_buffered,0,3,4,46486,1312.0
uni_v2,CCRCC,blocked,0,3,6,54755,579.0587189568947
uni_v2,CCRCC,blocked_buffered,0,3,6,44673,957.226201062215
uni_v2,CCRCC,blocked,0,3,10,55411,380.0
uni_v2,CCRCC,blocked_buffered,0,3,10,39061,787.7563074961698
uni_v2,CCRCC,blocked,0,4,4,53426,874.0005720821927
uni_v2,CCRCC,blocked_buffered,0,4,4,47018,1311.0003813881979
uni_v2,CCRCC,blocked,0,4,6,54737,580.3283553299804
uni_v2,CCRCC,blocked_buffered,0,4,6,44942,957.3405872519978
uni_v2,CCRCC,blocked,0,4,10,55469,379.5589545775465
uni_v2,CCRCC,blocked_buffered,0,4,10,38247,761.0006570299397
uni_v2,CCRCC,blocked,1,0,4,64798,761.0
uni_v2,CCRCC,blocked_buffered,1,0,4,61174,1141.0004382120105
uni_v2,CCRCC,blocked,1,0,6,66161,437.00114416326187
uni_v2,CCRCC,blocked_buffered,1,0,6,60798,875.0
uni_v2,CCRCC,blocked,1,0,10,67186,379.05672398732094
uni_v2,CCRCC,blocked_buffered,1,0,10,58999,760.000657894452
uni_v2,CCRCC,blocked,1,1,4,64890,761.0006570299397
uni_v2,CCRCC,blocked_buffered,1,1,4,61474,1142.0
uni_v2,CCRCC,blocked,1,1,6,66121,578.1141755743411
uni_v2,CCRCC,blocked_buffered,1,1,6,61222,956.2327122620309
uni_v2,CCRCC,blocked,1,1,10,67194,379.00131925891765
uni_v2,CCRCC,blocked_buffered,1,1,10,58850,760.0
uni_v2,CCRCC,blocked,1,2,4,64906,761.0006570299397
uni_v2,CCRCC,blocked_buffered,1,2,4,61501,1142.0
uni_v2,CCRCC,blocked,1,2,6,66289,578.1141755743411
uni_v2,CCRCC,blocked_buffered,1,2,6,61423,955.8953917662748
uni_v2,CCRCC,blocked,1,2,10,67256,379.05672398732094
uni_v2,CCRCC,blocked_buffered,1,2,10,59113,760.000657894452
uni_v2,CCRCC,blocked,1,3,4,64508,761.0
uni_v2,CCRCC,blocked_buffered,1,3,4,60778,1141.0004382120105
uni_v2,CCRCC,blocked,1,3,6,66111,438.0
uni_v2,CCRCC,blocked_buffered,1,3,6,60858,875.0005714283849
uni_v2,CCRCC,blocked,1,3,10,67282,378.69512803837335
uni_v2,CCRCC,blocked_buffered,1,3,10,58964,759.480085321531
uni_v2,CCRCC,blocked,1,4,4,64784,761.0006570299397
uni_v2,CCRCC,blocked_buffered,1,4,4,61243,1142.0
uni_v2,CCRCC,blocked,1,4,6,66071,437.00114416326187
uni_v2,CCRCC,blocked_buffered,1,4,6,60616,875.0
uni_v2,CCRCC,blocked,1,4,10,67210,379.05672398732094
uni_v2,CCRCC,blocked_buffered,1,4,10,58825,760.0
uni_v2,CCRCC,blocked,2,0,4,60073,787.0304949619169
uni_v2,CCRCC,blocked_buffered,2,0,4,55117,1215.780407803975
uni_v2,CCRCC,blocked,2,0,6,62294,577.7862926722994
uni_v2,CCRCC,blocked_buffered,2,0,6,55159,956.2327122620309
uni_v2,CCRCC,blocked,2,0,10,62976,379.05672398732094
uni_v2,CCRCC,blocked_buffered,2,0,10,50700,760.000657894452
uni_v2,CCRCC,blocked,2,1,4,60212,791.6091207155208
uni_v2,CCRCC,blocked_buffered,2,1,4,55578,1308.501911166681
uni_v2,CCRCC,blocked,2,1,6,61969,578.1141755743411
uni_v2,CCRCC,blocked_buffered,2,1,6,54826,956.2327122620309
uni_v2,CCRCC,blocked,2,1,10,63092,379.05672398732094
uni_v2,CCRCC,blocked_buffered,2,1,10,50956,761.0
uni_v2,CCRCC,blocked,2,2,4,60632,761.0006570299397
uni_v2,CCRCC,blocked_buffered,2,2,4,55685,1142.0004378282874
uni_v2,CCRCC,blocked,2,2,6,62267,578.1141755743411
uni_v2,CCRCC,blocked_buffered,2,2,6,55226,956.2327122620309
uni_v2,CCRCC,blocked,2,2,10,62926,379.05672398732094
uni_v2,CCRCC,blocked_buffered,2,2,10,50920,761.0
uni_v2,CCRCC,blocked,2,3,4,60438,761.0006570299397
uni_v2,CCRCC,blocked_buffered,2,3,4,55399,1142.0
uni_v2,CCRCC,blocked,2,3,6,62006,438.7743906849497
uni_v2,CCRCC,blocked_buffered,2,3,6,54504,954.6025350898666
uni_v2,CCRCC,blocked,2,3,10,62984,379.05672398732094
uni_v2,CCRCC,blocked_buffered,2,3,10,51264,761.0
uni_v2,CCRCC,blocked,2,4,4,59927,761.0006570299397
uni_v2,CCRCC,blocked_buffered,2,4,4,54905,1142.0004378282874
uni_v2,CCRCC,blocked,2,4,6,62073,578.1141755743411
uni_v2,CCRCC,blocked_buffered,2,4,6,54881,956.3472172804185
uni_v2,CCRCC,blocked,2,4,10,63034,379.05672398732094
uni_v2,CCRCC,blocked_buffered,2,4,10,51253,761.0
uni_v2,CCRCC,blocked,3,0,4,64947,761.0006570299397
uni_v2,CCRCC,blocked_buffered,3,0,4,61496,1142.0
