encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
hoptimus0,IDC,patient_recheck,00,0.0,,,14775,20761,1,0.4767073094844818,0.47670730501413344,0.15-0.23,True,True,TENX99
hoptimus0,IDC,patient_recheck,01,1.0,,,27776,7760,1,0.6454138159751892,0.6454138049483299,0.15-0.23,True,True,TENX95
hoptimus0,IDC,patient_recheck,02,2.0,,,31526,4010,1,0.5651775598526001,0.5651775346696377,0.30-0.40,False,False,NCBI785
hoptimus0,IDC,patient_recheck,03,3.0,,,32531,3005,1,0.7030940055847168,0.7030940288305283,0.23-0.30,False,False,NCBI783
hoptimus0,IDC,donor_out,donor_NCBI783,,,,32531,3005,1,0.7030940055847168,0.7030940288305283,0.23-0.30,False,False,NCBI783
hoptimus0,IDC,donor_out_matched,donor_NCBI783,,0.0,,26652,3005,1,0.7025388479232788,0.702538942694664,0.23-0.30,False,False,NCBI783
hoptimus0,IDC,donor_out_matched,donor_NCBI783,,1.0,,26652,3005,1,0.7021389007568359,0.7021388623118401,0.23-0.30,False,False,NCBI783
hoptimus0,IDC,donor_out_matched,donor_NCBI783,,2.0,,26652,3005,1,0.7027735114097595,0.7027734556794166,0.23-0.30,False,False,NCBI783
hoptimus0,IDC,donor_out_matched,donor_NCBI783,,3.0,,26652,3005,1,0.7051109075546265,0.7051109540462493,0.23-0.30,False,False,NCBI783
hoptimus0,IDC,donor_out_matched,donor_NCBI783,,4.0,,26652,3005,1,0.7035175561904907,0.7035175064206123,0.23-0.30,False,False,NCBI783
hoptimus0,IDC,donor_out,donor_NCBI785,,,,31526,4010,1,0.5651775598526001,0.5651775346696377,0.30-0.40,False,False,NCBI785
hoptimus0,IDC,donor_out_matched,donor_NCBI785,,0.0,,26652,4010,1,0.5639779567718506,0.5639778936654329,0.30-0.40,False,False,NCBI785
hoptimus0,IDC,donor_out_matched,donor_NCBI785,,1.0,,26652,4010,1,0.5632892847061157,0.5632893016189336,0.30-0.40,False,False,NCBI785
hoptimus0,IDC,donor_out_matched,donor_NCBI785,,2.0,,26652,4010,1,0.5635383129119873,0.5635383649915456,0.30-0.40,False,False,NCBI785
hoptimus0,IDC,donor_out_matched,donor_NCBI785,,3.0,,26652,4010,1,0.5658403635025024,0.5658403576165437,0.30-0.40,False,False,NCBI785
hoptimus0,IDC,donor_out_matched,donor_NCBI785,,4.0,,26652,4010,1,0.566063404083252,0.5660634392499924,0.30-0.40,False,False,NCBI785
hoptimus0,IDC,donor_out,donor_TENX_bigsample,,,,7015,28521,2,0.4920569658279419,0.4682834476977587,0.15-0.23,False,True,TENX95;TENX99
