encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
resnet50,IDC,patient_recheck,00,0.0,,,14775,20761,1,0.4081485867500305,0.4081485911458731,0.15-0.23,True,True,TENX99
resnet50,IDC,patient_recheck,01,1.0,,,27776,7760,1,0.5137557983398438,0.5137558302283287,0.15-0.23,True,True,TENX95
resnet50,IDC,patient_recheck,02,2.0,,,31526,4010,1,0.45556530356407166,0.45556529715657235,0.30-0.40,False,False,NCBI785
resnet50,IDC,patient_recheck,03,3.0,,,32531,3005,1,0.5180497169494629,0.5180497864633798,0.23-0.30,False,False,NCBI783
resnet50,IDC,donor_out,donor_NCBI783,,,,32531,3005,1,0.5180497169494629,0.5180497864633798,0.23-0.30,False,False,NCBI783
resnet50,IDC,donor_out_matched,donor_NCBI783,,0.0,,26652,3005,1,0.5214170813560486,0.5214170853793622,0.23-0.30,False,False,NCBI783
resnet50,IDC,donor_out_matched,donor_NCBI783,,1.0,,26652,3005,1,0.5138236880302429,0.5138236375153065,0.23-0.30,False,False,NCBI783
resnet50,IDC,donor_out_matched,donor_NCBI783,,2.0,,26652,3005,1,0.518322765827179,0.518322818428278,0.23-0.30,False,False,NCBI783
resnet50,IDC,donor_out_matched,donor_NCBI783,,3.0,,26652,3005,1,0.5189464688301086,0.5189464769512415,0.23-0.30,False,False,NCBI783
resnet50,IDC,donor_out_matched,donor_NCBI783,,4.0,,26652,3005,1,0.5170397162437439,0.517039687409997,0.23-0.30,False,False,NCBI783
resnet50,IDC,donor_out,donor_NCBI785,,,,31526,4010,1,0.45556530356407166,0.45556529715657235,0.30-0.40,False,False,NCBI785
resnet50,IDC,donor_out_matched,donor_NCBI785,,0.0,,26652,4010,1,0.45348313450813293,0.453483106084168,0.30-0.40,False,False,NCBI785
resnet50,IDC,donor_out_matched,donor_NCBI785,,1.0,,26652,4010,1,0.4582732021808624,0.4582732209004462,0.30-0.40,False,False,NCBI785
resnet50,IDC,donor_out_matched,donor_NCBI785,,2.0,,26652,4010,1,0.456094890832901,0.45609486252069475,0.30-0.40,False,False,NCBI785
resnet50,IDC,donor_out_matched,donor_NCBI785,,3.0,,26652,4010,1,0.45368465781211853,0.45368466977495703,0.30-0.40,False,False,NCBI785
resnet50,IDC,donor_out_matched,donor_NCBI785,,4.0,,26652,4010,1,0.4546552300453186,0.4546552396891639,0.30-0.40,False,False,NCBI785
resnet50,IDC,donor_out,donor_TENX_bigsample,,,,7015,28521,2,0.36472031474113464,0.40256170854903756,0.15-0.23,False,True,TENX95;TENX99
