task,training-set size,"spatial adjacency, size matched",residual adjacency (buffer),novel slide,"same patient, other slide",TOTAL random - patient,novel_slide_sd,novel_slide_sd_units
CCRCC,0.0004,0.0272,0.0035,,,0.0504,,
COAD,0.01,0.0356,0.0115,0.0022,0.2578,0.3172,0.0198,0.1133
HCC,0.0336,0.0472,0.0174,,,0.161,,
IDC,0.0009,0.0262,0.006,,,0.121,,
LUNG,0.0191,0.0236,0.0126,,,0.1799,,
LYMPH_IDC,0.0021,0.0316,0.0057,,,0.0955,,
PAAD,0.0101,0.0373,0.0201,,,0.1656,,
PRAD,0.0049,0.0208,0.0066,0.028,0.0583,0.1186,0.0019,14.3827
READ,0.0249,0.0395,0.0139,0.0141,0.091,0.1834,0.0196,0.7209
SKCM,0.0204,0.038,0.0176,,,0.1931,,
