encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
uni_v2,CCRCC,patient,00,0.0,,,55849,18371,4,0.2204724103212356,0.1865734919544774,0.40-0.50,True,False,INT13;INT14;INT15;INT24
uni_v2,CCRCC,random,00,0.0,0.0,,55849,18371,24,0.6563079953193665,0.2602593720094107,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked,00,0.0,0.0,4.0,54026,20194,24,0.6383857131004333,0.2357847118626038,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked_buffered,00,0.0,0.0,4.0,47923,20194,24,0.6307443976402283,0.233292915741816,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked_matched,00,0.0,0.0,4.0,47923,20194,24,0.6380030512809753,0.2359540867019192,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,random_matched,00,0.0,0.0,4.0,47923,18371,24,0.655907154083252,0.2592036413702105,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked,00,0.0,0.0,6.0,54755,19465,24,0.655025839805603,0.2377736993483268,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked_buffered,00,0.0,0.0,6.0,45250,19465,24,0.6506164073944092,0.2321374720467368,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked_matched,00,0.0,0.0,6.0,45250,19465,24,0.6547167301177979,0.2383561034448211,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,random_matched,00,0.0,0.0,6.0,45250,18371,24,0.6558181047439575,0.2592545161044108,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
uni_v2,CCRCC,blocked,00,0.0,0.0,10.0,55501,18719,24,0.6553449034690857,0.2226153526849551,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
