encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
resnet50,IDC,with_replicate,TENX95,,0,,7015,7760,1,0.5034476518630981,0.5034476390480995,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,0,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX95,,1,,7015,7760,1,0.5042403936386108,0.5042403766512871,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,1,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX95,,2,,7015,7760,1,0.5034325122833252,0.5034325379133224,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,2,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX95,,3,,7015,7760,1,0.5005518198013306,0.5005518551170826,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,3,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX95,,4,,7015,7760,1,0.5061852335929871,0.5061852303147316,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,4,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX99,,0,,7015,20761,1,0.40665680170059204,0.4066567475348711,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,0,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,IDC,with_replicate,TENX99,,1,,7015,20761,1,0.39930176734924316,0.3993017577752471,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,1,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,IDC,with_replicate,TENX99,,2,,7015,20761,1,0.4080186188220978,0.40801861612126233,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,2,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,IDC,with_replicate,TENX99,,3,,7015,20761,1,0.40356388688087463,0.40356391771325434,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,3,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,IDC,with_replicate,TENX99,,4,,7015,20761,1,0.40219104290008545,0.4021910535544157,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,4,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
