encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
hoptimus0,IDC,with_replicate,TENX95,,0,,7015,7760,1,0.6304777264595032,0.6304777657985687,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,0,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX95,,1,,7015,7760,1,0.6340276002883911,0.6340275913476944,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,1,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX95,,2,,7015,7760,1,0.6388297080993652,0.6388296972215176,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,2,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX95,,3,,7015,7760,1,0.6370588541030884,0.6370588949974626,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,3,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX95,,4,,7015,7760,1,0.6350973844528198,0.6350974018871784,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,4,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX99,,0,,7015,20761,1,0.47377070784568787,0.473770733512938,0.15-0.23,True,True,TENX99
hoptimus0,IDC,without_replicate,TENX99,,0,,7015,20761,1,0.3607434034347534,0.360743402838707,0.15-0.23,False,True,TENX99
hoptimus0,IDC,with_replicate,TENX99,,1,,7015,20761,1,0.47726526856422424,0.4772652730345726,0.15-0.23,True,True,TENX99
hoptimus0,IDC,without_replicate,TENX99,,1,,7015,20761,1,0.3607434034347534,0.360743402838707,0.15-0.23,False,True,TENX99
hoptimus0,IDC,with_replicate,TENX99,,2,,7015,20761,1,0.4626334011554718,0.46263338392600417,0.15-0.23,True,True,TENX99
