encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
resnet50,IDC,with_replicate,TENX95,,0,,7015,7760,1,0.5081110000610352,0.5081110320985317,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,0,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX95,,1,,7015,7760,1,0.4998041093349457,0.49980411753058435,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,1,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX95,,2,,7015,7760,1,0.5031521320343018,0.5031521117687225,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,2,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX95,,3,,7015,7760,1,0.5016683340072632,0.50166831985116,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,3,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX95,,4,,7015,7760,1,0.5008878111839294,0.5008878335356712,0.15-0.23,True,True,TENX95
resnet50,IDC,without_replicate,TENX95,,4,,7015,7760,1,0.45509961247444153,0.45509958755224944,0.15-0.23,False,True,TENX95
resnet50,IDC,with_replicate,TENX99,,0,,7015,20761,1,0.4021068513393402,0.4021068770438433,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,0,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,IDC,with_replicate,TENX99,,1,,7015,20761,1,0.4031701982021332,0.4031701833754778,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,1,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,IDC,with_replicate,TENX99,,2,,7015,20761,1,0.40395277738571167,0.4039527686499059,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,2,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,IDC,with_replicate,TENX99,,3,,7015,20761,1,0.4043791890144348,0.4043791779316962,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,3,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,IDC,with_replicate,TENX99,,4,,7015,20761,1,0.40538841485977173,0.4053884202055633,0.15-0.23,True,True,TENX99
resnet50,IDC,without_replicate,TENX99,,4,,7015,20761,1,0.3500238358974457,0.3500238259881735,0.15-0.23,False,True,TENX99
resnet50,READ,with_replicate,ZEN48,,0,,3819,2385,1,0.22379380464553833,0.22379381950944663,0.40-0.50,True,False,ZEN48
resnet50,READ,without_replicate,ZEN48,,0,,3819,2385,1,0.11664288491010666,0.11664287756197154,0.40-0.50,True,False,ZEN48
resnet50,READ,with_replicate,ZEN48,,1,,3819,2385,1,0.21833199262619019,0.218331982139498,0.40-0.50,True,False,ZEN48
resnet50,READ,without_replicate,ZEN48,,1,,3819,2385,1,0.11664288491010666,0.11664287756197154,0.40-0.50,True,False,ZEN48
resnet50,READ,with_replicate,ZEN48,,2,,3819,2385,1,0.22035075724124908,0.2203507548570633,0.40-0.50,True,False,ZEN48
resnet50,READ,without_replicate,ZEN48,,2,,3819,2385,1,0.11664288491010666,0.11664287756197154,0.40-0.50,True,False,ZEN48
resnet50,READ,with_replicate,ZEN48,,3,,3819,2385,1,0.22160467505455017,0.22160466894507408,0.40-0.50,True,False,ZEN48
resnet50,READ,without_replicate,ZEN48,,3,,3819,2385,1,0.11664288491010666,0.11664287756197154,0.40-0.50,True,False,ZEN48
resnet50,READ,with_replicate,ZEN48,,4,,3819,2385,1,0.2251202017068863,0.225120199713856,0.40-0.50,True,False,ZEN48
resnet50,READ,without_replicate,ZEN48,,4,,3819,2385,1,0.11664288491010666,0.11664287756197154,0.40-0.50,True,False,ZEN48
resnet50,READ,with_replicate,ZEN49,,0,,3819,2203,1,0.2367098182439804,0.236709844134748,0.40-0.50,True,False,ZEN49
resnet50,READ,without_replicate,ZEN49,,0,,3819,2203,1,0.14095740020275116,0.1409573972783983,0.40-0.50,True,False,ZEN49
resnet50,READ,with_replicate,ZEN49,,1,,3819,2203,1,0.23916052281856537,0.23916052110958844,0.40-0.50,True,False,ZEN49
resnet50,READ,without_replicate,ZEN49,,1,,3819,2203,1,0.14095740020275116,0.1409573972783983,0.40-0.50,True,False,ZEN49
resnet50,READ,with_replicate,ZEN49,,2,,3819,2203,1,0.2402043342590332,0.24020432675257325,0.40-0.50,True,False,ZEN49
resnet50,READ,without_replicate,ZEN49,,2,,3819,2203,1,0.14095740020275116,0.1409573972783983,0.40-0.50,True,False,ZEN49
resnet50,READ,with_replicate,ZEN49,,3,,3819,2203,1,0.23652660846710205,0.23652660686522722,0.40-0.50,True,False,ZEN49
resnet50,READ,without_replicate,ZEN49,,3,,3819,2203,1,0.14095740020275116,0.1409573972783983,0.40-0.50,True,False,ZEN49
resnet50,READ,with_replicate,ZEN49,,4,,3819,2203,1,0.23651356995105743,0.23651360131800175,0.40-0.50,True,False,ZEN49
resnet50,READ,without_replicate,ZEN49,,4,,3819,2203,1,0.14095740020275116,0.1409573972783983,0.40-0.50,True,False,ZEN49
resnet50,READ,with_replicate,ZEN36,,0,,4588,1691,1,0.22507590055465698,0.22507589371874928,0.40-0.50,True,False,ZEN36
resnet50,READ,without_replicate,ZEN36,,0,,4588,1691,1,0.11528066545724869,0.11528066139173461,0.40-0.50,True,False,ZEN36
resnet50,READ,with_replicate,ZEN36,,1,,4588,1691,1,0.2240574061870575,0.22405739866197108,0.40-0.50,True,False,ZEN36
resnet50,READ,without_replicate,ZEN36,,1,,4588,1691,1,0.11528066545724869,0.11528066139173461,0.40-0.50,True,False,ZEN36
resnet50,READ,with_replicate,ZEN36,,2,,4588,1691,1,0.2185494601726532,0.218549462556839,0.40-0.50,True,False,ZEN36
resnet50,READ,without_replicate,ZEN36,,2,,4588,1691,1,0.11528066545724869,0.11528066139173461,0.40-0.50,True,False,ZEN36
resnet50,READ,with_replicate,ZEN36,,3,,4588,1691,1,0.22449785470962524,0.22449786260724067,0.40-0.50,True,False,ZEN36
resnet50,READ,without_replicate,ZEN36,,3,,4588,1691,1,0.11528066545724869,0.11528066139173461,0.40-0.50,True,False,ZEN36
resnet50,READ,with_replicate,ZEN36,,4,,4588,1691,1,0.21994338929653168,0.21994340512901545,0.40-0.50,True,False,ZEN36
resnet50,READ,without_replicate,ZEN36,,4,,4588,1691,1,0.11528066545724869,0.11528066139173461,0.40-0.50,True,False,ZEN36
resnet50,READ,with_replicate,ZEN40,,0,,4588,2128,1,0.1065494641661644,0.1065494526270777,0.40-0.50,True,False,ZEN40
resnet50,READ,without_replicate,ZEN40,,0,,4588,2128,1,-0.017430836334824562,-0.017430835932027548,0.40-0.50,True,False,ZEN40
resnet50,READ,with_replicate,ZEN40,,1,,4588,2128,1,0.09282209724187851,0.09282209182158113,0.40-0.50,True,False,ZEN40
resnet50,READ,without_replicate,ZEN40,,1,,4588,2128,1,-0.017430836334824562,-0.017430835932027548,0.40-0.50,True,False,ZEN40
resnet50,READ,with_replicate,ZEN40,,2,,4588,2128,1,0.10577511042356491,0.10577511175069958,0.40-0.50,True,False,ZEN40
resnet50,READ,without_replicate,ZEN40,,2,,4588,2128,1,-0.017430836334824562,-0.017430835932027548,0.40-0.50,True,False,ZEN40
resnet50,READ,with_replicate,ZEN40,,3,,4588,2128,1,0.09603075683116913,0.09603075692430138,0.40-0.50,True,False,ZEN40
resnet50,READ,without_replicate,ZEN40,,3,,4588,2128,1,-0.017430836334824562,-0.017430835932027548,0.40-0.50,True,False,ZEN40
resnet50,READ,with_replicate,ZEN40,,4,,4588,2128,1,0.0982447937130928,0.09824478715658187,0.40-0.50,True,False,ZEN40
resnet50,READ,without_replicate,ZEN40,,4,,4588,2128,1,-0.017430836334824562,-0.017430835932027548,0.40-0.50,True,False,ZEN40
