encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
uni_v2,IDC,with_replicate,TENX95,,0,,7015,7760,1,0.6239892840385437,0.623989247083664,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,0,,7015,7760,1,0.5983853936195374,0.5983853829279542,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX95,,1,,7015,7760,1,0.6258326768875122,0.6258326724171639,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,1,,7015,7760,1,0.5983853936195374,0.5983853829279542,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX95,,2,,7015,7760,1,0.6338473558425903,0.6338473555445671,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,2,,7015,7760,1,0.5983853936195374,0.5983853829279542,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX95,,3,,7015,7760,1,0.6282498240470886,0.6282498189806938,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,3,,7015,7760,1,0.5983853936195374,0.5983853829279542,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX95,,4,,7015,7760,1,0.6308563947677612,0.6308564069867134,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,4,,7015,7760,1,0.5983853936195374,0.5983853829279542,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX99,,0,,7015,20761,1,0.4696052074432373,0.4696051794290543,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,0,,7015,20761,1,0.3750062882900238,0.37500628019683063,0.15-0.23,False,True,TENX99
uni_v2,IDC,with_replicate,TENX99,,1,,7015,20761,1,0.46593666076660156,0.46593669772148133,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,1,,7015,20761,1,0.3750062882900238,0.37500628019683063,0.15-0.23,False,True,TENX99
uni_v2,IDC,with_replicate,TENX99,,2,,7015,20761,1,0.460769921541214,0.4607699289917946,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,2,,7015,20761,1,0.3750062882900238,0.37500628019683063,0.15-0.23,False,True,TENX99
uni_v2,IDC,with_replicate,TENX99,,3,,7015,20761,1,0.4635712802410126,0.46357130497694016,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,3,,7015,20761,1,0.3750062882900238,0.37500628019683063,0.15-0.23,False,True,TENX99
uni_v2,IDC,with_replicate,TENX99,,4,,7015,20761,1,0.4679107964038849,0.4679107774049044,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,4,,7015,20761,1,0.3750062882900238,0.37500628019683063,0.15-0.23,False,True,TENX99
uni_v2,READ,with_replicate,ZEN48,,0,,3819,2385,1,0.29065150022506714,0.29065151531249284,0.40-0.50,True,False,ZEN48
uni_v2,READ,without_replicate,ZEN48,,0,,3819,2385,1,0.26019322872161865,0.26019324218854306,0.40-0.50,True,False,ZEN48
uni_v2,READ,with_replicate,ZEN48,,1,,3819,2385,1,0.2952776849269867,0.2952776657603681,0.40-0.50,True,False,ZEN48
uni_v2,READ,without_replicate,ZEN48,,1,,3819,2385,1,0.26019322872161865,0.26019324218854306,0.40-0.50,True,False,ZEN48
uni_v2,READ,with_replicate,ZEN48,,2,,3819,2385,1,0.2878633737564087,0.2878633506037295,0.40-0.50,True,False,ZEN48
uni_v2,READ,without_replicate,ZEN48,,2,,3819,2385,1,0.26019322872161865,0.26019324218854306,0.40-0.50,True,False,ZEN48
uni_v2,READ,with_replicate,ZEN48,,3,,3819,2385,1,0.29809513688087463,0.29809515699744227,0.40-0.50,True,False,ZEN48
uni_v2,READ,without_replicate,ZEN48,,3,,3819,2385,1,0.26019322872161865,0.26019324218854306,0.40-0.50,True,False,ZEN48
uni_v2,READ,with_replicate,ZEN48,,4,,3819,2385,1,0.2920527160167694,0.29205273151397704,0.40-0.50,True,False,ZEN48
uni_v2,READ,without_replicate,ZEN48,,4,,3819,2385,1,0.26019322872161865,0.26019324218854306,0.40-0.50,True,False,ZEN48
