encoder,task,design,fold,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
resnet50,CCRCC,patient,0,,,55849,18371,4,0.1407928317785263,0.11839915849137468,0.40-0.50,True,False,INT13;INT14;INT15;INT24
resnet50,CCRCC,random,0,0.0,,55849,18371,24,0.5750053524971008,0.20286136818227532,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,0.0,4.0,54026,20194,24,0.5437445044517517,0.1848232050871502,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,0.0,4.0,47923,20194,24,0.5354564785957336,0.1844345900695286,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,0.0,4.0,47923,20194,24,0.543097734451294,0.18488889515465415,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,0.0,4.0,47923,18371,24,0.5745354294776917,0.20271691258613522,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,0.0,6.0,54755,19465,24,0.5771452784538269,0.19089802850046608,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,0.0,6.0,45250,19465,24,0.5710638761520386,0.1891656098307916,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,0.0,6.0,45250,19465,24,0.5761187672615051,0.19084573897356072,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,random_matched,0,0.0,6.0,45250,18371,24,0.5739498734474182,0.20173285754071305,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked,0,0.0,10.0,55501,18719,24,0.5792311429977417,0.1766685372118688,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_buffered,0,0.0,10.0,38612,18719,24,0.564835250377655,0.1717663369890882,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
resnet50,CCRCC,blocked_matched,0,0.0,10.0,38612,18719,24,0.5788916945457458,0.1756817386587136,0.40-0.50,True,False,INT1;INT10;INT11;INT12;INT13;INT14;INT15;INT16;INT17;INT18;INT19;INT2;INT20;INT21;INT22;INT23;INT24;INT3;INT4;INT5;INT6;INT7;INT8;INT9
