encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
hoptimus0,IDC,with_replicate,TENX95,,0,,7015,7760,1,0.6294071674346924,0.6294071851298213,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,0,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX95,,1,,7015,7760,1,0.6331060528755188,0.6331060964614152,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,1,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX95,,2,,7015,7760,1,0.6346634030342102,0.6346634346246719,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,2,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX95,,3,,7015,7760,1,0.6298105120658875,0.6298105108737946,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,3,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX95,,4,,7015,7760,1,0.6438114047050476,0.6438114501535892,0.15-0.23,True,True,TENX95
hoptimus0,IDC,without_replicate,TENX95,,4,,7015,7760,1,0.5758234858512878,0.5758234906941653,0.15-0.23,False,True,TENX95
hoptimus0,IDC,with_replicate,TENX99,,0,,7015,20761,1,0.47100821137428284,0.4710082460194826,0.15-0.23,True,True,TENX99
hoptimus0,IDC,without_replicate,TENX99,,0,,7015,20761,1,0.3607434034347534,0.360743402838707,0.15-0.23,False,True,TENX99
hoptimus0,IDC,with_replicate,TENX99,,1,,7015,20761,1,0.47103866934776306,0.4710386487242067,0.15-0.23,True,True,TENX99
hoptimus0,IDC,without_replicate,TENX99,,1,,7015,20761,1,0.3607434034347534,0.360743402838707,0.15-0.23,False,True,TENX99
hoptimus0,IDC,with_replicate,TENX99,,2,,7015,20761,1,0.47085368633270264,0.47085367439314724,0.15-0.23,True,True,TENX99
hoptimus0,IDC,without_replicate,TENX99,,2,,7015,20761,1,0.3607434034347534,0.360743402838707,0.15-0.23,False,True,TENX99
hoptimus0,IDC,with_replicate,TENX99,,3,,7015,20761,1,0.4709914028644562,0.4709914019703865,0.15-0.23,True,True,TENX99
hoptimus0,IDC,without_replicate,TENX99,,3,,7015,20761,1,0.3607434034347534,0.360743402838707,0.15-0.23,False,True,TENX99
hoptimus0,IDC,with_replicate,TENX99,,4,,7015,20761,1,0.46609610319137573,0.4660960806906223,0.15-0.23,True,True,TENX99
hoptimus0,IDC,without_replicate,TENX99,,4,,7015,20761,1,0.3607434034347534,0.360743402838707,0.15-0.23,False,True,TENX99
