encoder,task,design,fold,fold_num,repeat,grid,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_resolution_group,train_has_same_resolution_group,test_resolution_uncertain,test_slides
uni_v2,IDC,with_replicate,TENX95,,0,,7015,7760,1,0.6211564540863037,0.6211564221978187,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,0,,7015,7760,1,0.5983913540840149,0.5983913034014404,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX95,,1,,7015,7760,1,0.6297909021377563,0.6297908681631088,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,1,,7015,7760,1,0.5983913540840149,0.5983913034014404,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX95,,2,,7015,7760,1,0.6222139000892639,0.622213873565197,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,2,,7015,7760,1,0.5983913540840149,0.5983913034014404,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX95,,3,,7015,7760,1,0.6257376670837402,0.6257376474142075,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,3,,7015,7760,1,0.5983913540840149,0.5983913034014404,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX95,,4,,7015,7760,1,0.6333101987838745,0.6333102115988731,0.15-0.23,True,True,TENX95
uni_v2,IDC,without_replicate,TENX95,,4,,7015,7760,1,0.5983913540840149,0.5983913034014404,0.15-0.23,False,True,TENX95
uni_v2,IDC,with_replicate,TENX99,,0,,7015,20761,1,0.4649732708930969,0.4649732629954815,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,0,,7015,20761,1,0.3750402331352234,0.375040266495198,0.15-0.23,False,True,TENX99
uni_v2,IDC,with_replicate,TENX99,,1,,7015,20761,1,0.47227218747138977,0.4722721786051989,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,1,,7015,20761,1,0.3750402331352234,0.375040266495198,0.15-0.23,False,True,TENX99
uni_v2,IDC,with_replicate,TENX99,,2,,7015,20761,1,0.4699728488922119,0.469972826987505,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,2,,7015,20761,1,0.3750402331352234,0.375040266495198,0.15-0.23,False,True,TENX99
uni_v2,IDC,with_replicate,TENX99,,3,,7015,20761,1,0.4630787968635559,0.46307881116867067,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,3,,7015,20761,1,0.3750402331352234,0.375040266495198,0.15-0.23,False,True,TENX99
uni_v2,IDC,with_replicate,TENX99,,4,,7015,20761,1,0.4662986397743225,0.46629864886403083,0.15-0.23,True,True,TENX99
uni_v2,IDC,without_replicate,TENX99,,4,,7015,20761,1,0.3750402331352234,0.375040266495198,0.15-0.23,False,True,TENX99
