probe,encoder,task,unit,n_classes,chance,n_folds,acc_blocked,acc_sd,n_slides_majority_correct,n_slides_scored,majority_vote_acc,px_values,all_resolution_uncertain,rule,n_spots,spots_per_slide,acc_random_split,acc_drop,confusion_within_subcluster_frac,confusion_within_subcluster_chance,confusion_off_diagonal_mass,subcluster_A,subcluster_B,nn_dist_random,nn_dist_blocked,verdict,acc_pooled_balanced,acc_mean_per_slide_recall,majority_class_baseline,held_out_slides,excluded_slides,note,morph_match_frac,acc_blocked_adjusted,acc_blocked_adjusted_planset,acc_drop_planset,n_slides_resolution_uncertain,n_slides_total,covariates,covariates_planset
probe1b_scan_subcluster,hoptimus0,PRAD,PRAD patient 2,2,0.5,15.0,0.9671316964285714,,15.0,15.0,1.0,cut at 0.3452,True,decision 2.1: high accuracy means part of the slide signature is a scan-session effect rather than per-slide,,,,,,,,,,,,,,,,,,,,,,,,,,
probe1_slide_within_patient,hoptimus0,PRAD,PRAD patient 2,15,0.06666666666666667,,0.9493983585762718,,,,,0.3412;0.3413;0.3414;0.3416;0.3417;0.3418;0.3484;0.3486;0.3487;0.3492,True,blocked>0.8 => technical origin; near chance => round 1's 0.98 was biology+resolution,12000.0,800.0,0.9802777777777778,0.030879419201506053,0.9326424870466321,0.4666666666666667,193.0,MEND139;MEND140;MEND141;MEND142;MEND143;MEND144;MEND145;MEND146,MEND147;MEND148;MEND149;MEND150;MEND151;MEND152;MEND153,293.0,778.8074216390082,technical,,,,,,,,,,,,,,
probe2_2class,hoptimus0,PRAD,PRAD patient 1,2,0.5,7.0,0.5111875,0.4570465974732826,5.0,7.0,0.7142857142857143,0.17:1;0.57:5;0.69:2,True,high accuracy => resolution is decodable independently of patient,,,,,,,,,,,,,0.5111875,0.7117857142857142,0.7142857142857143,MEND154;MEND156;MEND157;MEND158;MEND159;MEND160;MEND161,MEND162,"decision 1.1: nominal pixel-size groups, not R0's bins; the single 0.17 slide is excluded from BOTH training and evaluation; 2 classes over 7 slides, chance 0.5. PRAD carries no embedded pixel size, so these labels rest on the spot-spacing estimate alone - for Visium the more reliable of the two sources, being derived from the known 100um pitch, so a caveat and not a blocker.",,,,,,,,
probe3_composition_adjusted,hoptimus0,IDC,"IDC, single-slide patients",4,0.25,,1.0,,,,,,False,large drop => composition explains separability; no drop => it does not,2104.0,,,0.020074128515597645,,,,,,,,composition explains little,,,,,,,0.6464993246285456,0.9799258714844024,0.9906983870123526,0.009301612987647423,2.0,4.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,hoptimus0,PAAD,"PAAD, single-slide patients",3,0.3333333333333333,,0.9980842911877396,,,,,,False,large drop => composition explains separability; no drop => it does not,1849.0,,,0.18520942658873696,,,,,,,,composition explains most,,,,,,,0.7481178179896976,0.8128748645990026,0.8029920271299581,0.19509226405778146,0.0,3.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,hoptimus0,LUNG,"LUNG, single-slide patients",2,0.5,,1.0,,,,,,False,large drop => composition explains separability; no drop => it does not,1344.0,,,0.13325464241300078,,,,,,,,partial,,,,,,,0.823857087975413,0.8667453575869992,0.8783276774234344,0.12167232257656557,0.0,2.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,hoptimus0,SKCM,"SKCM, single-slide patients",2,0.5,,1.0,,,,,,False,large drop => composition explains separability; no drop => it does not,1059.0,,,0.2455831112932978,,,,,,,,composition explains most,,,,,,,0.6882003955174687,0.7544168887067022,0.7519778643164583,0.2480221356835417,0.0,2.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe3_composition_adjusted,hoptimus0,PRAD,PRAD patient 2 (adjusted counterpart to probe 1),15,0.06666666666666667,,0.9224663164361625,,,,,,True,large drop => composition explains separability; no drop => it does not,4953.0,,,0.015538279397904198,,,,,,,,composition explains little,,,,,,,0.42092397946712296,0.9069280370382583,0.9089998774863289,0.01346643894983357,15.0,15.0,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic
probe1b_scan_subcluster,uni_v2,PRAD,PRAD patient 2,2,0.5,15.0,0.9716741071428572,,15.0,15.0,1.0,cut at 0.3452,True,decision 2.1: high accuracy means part of the slide signature is a scan-session effect rather than per-slide,,,,,,,,,,,,,,,,,,,,,,,,,,
probe1_slide_within_patient,uni_v2,PRAD,PRAD patient 2,15,0.06666666666666667,,0.9347090702398098,,,,,0.3412;0.3413;0.3414;0.3416;0.3417;0.3418;0.3484;0.3486;0.3487;0.3492,True,blocked>0.8 => technical origin; near chance => round 1's 0.98 was biology+resolution,12000.0,800.0,0.976111111111111,0.04140204087130128,0.963855421686747,0.4666666666666667,249.0,MEND139;MEND140;MEND141;MEND142;MEND143;MEND144;MEND145;MEND146,MEND147;MEND148;MEND149;MEND150;MEND151;MEND152;MEND153,293.0,778.8074216390082,technical,,,,,,,,,,,,,,
