task,n_slides,distinct_px,spearman,p,note
CCRCC,24,23,0.2043922640185652,0.33804992806495304,
COAD,4,4,0.0,1.0,
HCC,2,2,,,fewer than 3 distinct pixel sizes; correlation undefined
IDC,4,3,-0.9486832980505139,0.05131670194948613,
LUNG,2,2,,,fewer than 3 distinct pixel sizes; correlation undefined
LYMPH_IDC,4,4,0.7999999999999999,0.2000000000000001,
PAAD,3,3,-1.0,0.0,
PRAD,23,22,-0.6992834411651314,0.00020485223146016375,
READ,4,4,-0.7999999999999999,0.2000000000000001,
SKCM,2,2,,,fewer than 3 distinct pixel sizes; correlation undefined
