task,sample_id,n_spots,area_median,area_q25,area_q75,pixel_size_um
CCRCC,INT1,957,201.85886101973685,177.721435546875,230.02734375,0.4568931177233368
CCRCC,INT10,848,256.34593151461695,211.82132466634116,304.88465169270836,0.4580147333902844
CCRCC,INT11,606,265.1894856770833,226.60147094726562,314.7178955078125,0.456621005
CCRCC,INT12,684,277.425771077474,249.67525634765627,308.39803641183033,0.4576641783871348
CCRCC,INT13,3800,229.48500944438734,202.76309095110213,259.429207938058,0.4574277884098857
CCRCC,INT14,4299,183.49806640625,171.12918530088484,195.38082489838473,0.4575717552543552
CCRCC,INT15,4563,314.1552991365132,272.817619515149,353.912109375,0.457852371
CCRCC,INT16,2804,176.73438924153646,110.54839651925224,219.07637976166,0.4576384517104322
CCRCC,INT17,2233,244.69556107954546,211.57384474734042,275.9705403645833,0.4575303118810184
CCRCC,INT18,4677,290.509912109375,250.37838040865384,333.7083687160326,0.4580980504589049
CCRCC,INT19,3219,186.56057739257812,165.18698400738595,220.7932419099241,0.4572546277932903
CCRCC,INT2,1048,216.10546875,184.484619140625,256.532958984375,0.4570383912248628
CCRCC,INT20,2313,106.048828125,87.980712890625,133.6025390625,0.4571095567472187
CCRCC,INT21,4620,306.066689231179,257.7916219075521,347.30825537966007,0.4573366590957951
CCRCC,INT22,1985,107.6341552734375,84.76204427083333,134.56779597355768,0.4575043161243126
CCRCC,INT23,1359,115.1484375,80.9637451171875,177.5205078125,0.4575331259845696
CCRCC,INT24,2596,213.51734652047898,184.2261023888221,243.56505126953124,0.4573673151944301
CCRCC,INT3,1197,252.1341552734375,192.478515625,376.419677734375,0.4576659038901602
CCRCC,INT4,778,289.0112890625,225.08072335379464,354.3001708984375,0.4587134513912085
CCRCC,INT5,1100,269.49779200291897,236.5053745083042,300.84399013831967,0.4566198144867198
CCRCC,INT6,1081,194.96953125,164.21484375,230.818359375,0.4571428239714969
CCRCC,INT7,1148,215.66604515814012,182.75051879882812,255.32096354166666,0.4576656043222626
CCRCC,INT8,646,316.13203125,262.49853515625,375.51771763392856,0.4570383912248628
CCRCC,INT9,566,326.42960611979163,271.7841796875,409.6437143179087,0.457549035711129
COAD,TENX111,4170,415.49635860558715,327.3670048640324,494.0651380960435,0.2738047666871285
COAD,TENX147,1944,436.7978693181818,362.2929012345679,542.9079545454546,0.2497022099084696
COAD,TENX148,2662,481.2464625207343,413.9395587627704,545.8081787109375,0.2737603571635976
COAD,TENX149,2596,468.80786557404895,388.4697265625,534.6895136900059,0.2740308880582206
HCC,NCBI642,1799,320.26088169642856,286.49102783203125,360.51629464285713,0.4534062331416454
HCC,NCBI643,1967,333.22098214285717,282.8556941105769,392.530078125,0.4539563409112828
IDC,NCBI783,2333,499.7186863111413,385.389892578125,777.144775390625,0.2739598559774087
IDC,NCBI785,2195,429.0947066326531,354.35292271205356,506.378662109375,0.3639107956749145
IDC,TENX95,5613,1014.7641059027778,904.5831853693181,1113.9654858732877,0.2125
IDC,TENX99,12943,1169.865625,1034.9318329782197,1350.1252574573864,0.2125
LUNG,TENX118,1651,584.0301792077851,514.8570154665747,644.2642894457745,0.2738558376865452
LUNG,TENX141,2737,521.4158935546875,420.34600830078125,708.6145207331731,0.2736430867919545
LYMPH_IDC,NCBI681,3990,987.2493387858074,847.0224753639915,1116.1678263346353,0.2738919090219516
LYMPH_IDC,NCBI682,4453,659.6257768110795,460.40718217329544,857.5900390625,0.2738759539500113
LYMPH_IDC,NCBI683,4270,583.6026590812106,531.3258856814443,636.325505993413,0.2734232337203853
LYMPH_IDC,NCBI684,2620,788.19154103597,653.7853571306196,893.8070750517004,0.2734752041027168
PAAD,TENX116,1932,1685.5036573401162,1535.4532929053996,1813.6421839488635,0.136887203675011
PAAD,TENX126,1392,397.17310926649304,361.2009860171713,636.1191772460938,0.2738901649143521
PAAD,TENX140,2397,696.3882863898026,402.9396544780928,806.58798828125,0.2737677105869734
PRAD,MEND139,3086,336.49378380408655,301.0595543271019,374.75334028764206,0.3417704356235018
PRAD,MEND140,689,303.5909775556144,256.621826171875,353.5428634344363,0.3416810637413744
PRAD,MEND141,202,304.3264684844436,249.7122802734375,370.8338216145833,0.3412434442674936
PRAD,MEND142,1003,315.284453601372,283.6858216653138,363.29488281249996,0.3412951940850326
PRAD,MEND143,477,294.462890625,243.8359375,358.134033203125,0.341624049
PRAD,MEND144,525,314.7982066761364,254.38936941964286,388.74267578125,0.3413461313911852
PRAD,MEND145,443,290.26210423519734,249.57679898131127,335.8297607421875,0.3414120524549937
PRAD,MEND146,403,295.3023681640625,249.88944811698718,349.06121826171875,0.3413129631225956
PRAD,MEND147,1717,308.3792438271605,267.61682942708336,368.18428178267044,0.3483973614723697
