gene,between_session,between_session_raw,between_slide_within_session,within_slide
AMD1,0.014183,0.014183,0.207688,0.413719
C1orf43,0.00129,0.00129,0.033828,0.209344
C6orf48,0.0,-0.004474,0.041803,0.268564
C8orf59,0.0,-0.005497,0.039506,0.298171
CAT,0.0,-0.003017,0.021861,0.180352
CCDC47,0.0,-0.0018,0.015204,0.135769
COX17,0.0,-0.005467,0.05585,0.297333
COX5A,0.013715,0.013715,0.08152,0.312212
COX7B,0.0,-0.009359,0.065003,0.383299
DNAJC3,0.0,-0.003049,0.02254,0.160809
EIF3E,0.0,-0.007057,0.049084,0.335312
EIF3H,0.0,-0.008681,0.063118,0.339613
GLO1,0.037239,0.037239,0.128588,0.360582
GNG5,0.0041,0.0041,0.047957,0.290112
HLA-DRA,0.033494,0.033494,0.049805,0.47401
HSPD1,0.000717,0.000717,0.036628,0.25811
IMPDH2,0.011943,0.011943,0.03977,0.229229
MAOA,0.015762,0.015762,0.020584,0.158544
MIF,0.055726,0.055726,0.069392,0.357883
MPC2,0.027823,0.027823,0.158905,0.38398
MRPL33,0.0,-0.000405,0.032368,0.27647
MT1E,0.0,-0.03134,0.423987,0.504124
MT1X,0.006475,0.006475,0.21405,0.514218
NUCB2,0.0,-0.000608,0.008198,0.183461
NUDT4,0.0,-0.00643,0.087247,0.275641
PCBD1,0.0,-0.002722,0.077199,0.292843
PDIA4,0.000111,0.000111,0.047559,0.232567
PERP,0.0,-0.009084,0.062222,0.250639
REXO2,0.082226,0.082226,0.09061,0.26644
RPL37A,0.0,-0.042632,0.31953,0.711761
RPN1,0.0,-0.005775,0.045638,0.220085
RPS29,0.0,-0.028416,0.215862,0.645708
RSL24D1,0.0,-0.001473,0.010685,0.180053
SEC11C,0.097283,0.097283,0.371156,0.510447
SELENOT,0.0,-0.004166,0.028535,0.178763
SGK1,0.0,-0.001849,0.027864,0.280619
SLIRP,0.0,-0.00535,0.03817,0.300779
SNHG8,0.049548,0.049548,0.19488,0.466315
SNHG9,0.003808,0.003808,0.035028,0.217065
SNRPE,0.0,-0.00225,0.027667,0.245636
SOD2,0.002018,0.002018,0.010217,0.235722
SPCS3,0.0,-0.000521,0.009884,0.13248
SPON2,0.040543,0.040543,0.910375,0.510381
SRRM1,0.005739,0.005739,0.017292,0.186418
SVIP,0.0,-0.002768,0.020688,0.169299
TMCO1,0.0,-0.004163,0.033605,0.183383
TOB1,0.002548,0.002548,0.009043,0.164982
TXNL4A,0.0,-0.001367,0.030334,0.220107
XBP1,0.020831,0.020831,0.164662,0.414449
ZFAS1,0.0,-0.003632,0.092672,0.396118
