x,y,scope,n,spearman,p,n_donors,df_donor
random_minus_patient,frac_donor,pooled,1500,-0.23383653087746814,4.457077774277821e-20,24,23
random_minus_patient,frac_donor,task=CCRCC,150,0.07278950993049423,0.37604711842622346,24,23
random_minus_patient,frac_donor,task=COAD,150,0.3233411920422899,5.438486787745697e-05,4,3
random_minus_patient,frac_donor,task=HCC,150,0.20583084099736346,0.011506377975918207,2,1
random_minus_patient,frac_donor,task=IDC,150,-0.0502405707286223,0.5414928009780359,3,2
random_minus_patient,frac_donor,task=LUNG,150,0.06978785140755503,0.3960993121110849,2,1
random_minus_patient,frac_donor,task=LYMPH_IDC,150,-0.09920604735635039,0.2271092668739356,4,3
random_minus_patient,frac_donor,task=PAAD,150,-0.047909313938128875,0.5604368512375527,3,2
random_minus_patient,frac_donor,task=PRAD,150,-0.27439240314982705,0.0006789190618729266,2,1
random_minus_patient,frac_donor,task=READ,150,-0.08628290772535531,0.2937803500414817,2,1
random_minus_patient,frac_donor,task=SKCM,150,0.24916052261786747,0.0021071853043124226,2,1
random_minus_patient,var_donor,pooled,1500,-0.06249777104183477,0.015483107379542694,24,23
random_minus_patient,var_donor,task=CCRCC,150,0.2354176520881378,0.0037313999532344396,24,23
random_minus_patient,var_donor,task=COAD,150,0.41568171361772815,1.224396633789996e-07,4,3
random_minus_patient,var_donor,task=HCC,150,0.25822084795918687,0.0014208791872312814,2,1
random_minus_patient,var_donor,task=IDC,150,-0.12171805894897952,0.13786525784652168,3,2
random_minus_patient,var_donor,task=LUNG,150,-0.01117075071452532,0.8920798557990544,2,1
random_minus_patient,var_donor,task=LYMPH_IDC,150,-0.05925050104785631,0.4713833822826595,4,3
random_minus_patient,var_donor,task=PAAD,150,-0.05682862948256174,0.4897278048461743,3,2
random_minus_patient,var_donor,task=PRAD,150,-0.26260346344554514,0.00116838134624923,2,1
random_minus_patient,var_donor,task=READ,150,-0.015475381756630059,0.8509082749840746,2,1
random_minus_patient,var_donor,task=SKCM,150,0.18053146141538737,0.027053098192830707,2,1
blocked_minus_patient,frac_donor,pooled,1500,-0.2475484260369892,2.2159697740069257e-22,24,23
blocked_minus_patient,frac_donor,task=CCRCC,150,0.0203831965880849,0.8044597682425404,24,23
blocked_minus_patient,frac_donor,task=COAD,150,0.3473892030915144,1.3278182088317793e-05,4,3
blocked_minus_patient,frac_donor,task=HCC,150,0.2732976462966729,0.0007147570102983544,2,1
blocked_minus_patient,frac_donor,task=IDC,150,-0.03027583706850907,0.7130341733586195,3,2
blocked_minus_patient,frac_donor,task=LUNG,150,0.10618614755139756,0.1959108696138556,2,1
blocked_minus_patient,frac_donor,task=LYMPH_IDC,150,-0.11562569642678361,0.15883405850133323,4,3
blocked_minus_patient,frac_donor,task=PAAD,150,-0.00521182493236298,0.9495292037273597,3,2
blocked_minus_patient,frac_donor,task=PRAD,150,-0.270359683884865,0.0008197067793440817,2,1
blocked_minus_patient,frac_donor,task=READ,150,-0.015324978879439625,0.8523407054080503,2,1
blocked_minus_patient,frac_donor,task=SKCM,150,0.27658653525826143,0.0006120193267232754,2,1
novel_slide,frac_slide,pooled,300,-0.2217683206813027,0.00010730768395389806,24,23
novel_slide,frac_slide,task=PRAD,150,0.11658590982271537,0.15537928298737175,2,1
novel_slide,frac_slide,task=READ,150,0.30262192076562894,0.00016722392091602145,2,1
same_patient_other_slide,frac_donor,pooled,450,0.29153922334514937,2.8865030426261537e-10,24,23
same_patient_other_slide,frac_donor,task=COAD,150,0.31329095849820415,9.475067427626657e-05,4,3
same_patient_other_slide,frac_donor,task=PRAD,150,-0.24516485154418385,0.0024961165134125534,2,1
same_patient_other_slide,frac_donor,task=READ,150,-0.04528738062830546,0.5821154121900143,2,1
replicate_leak,frac_donor,pooled,300,-0.04433773306644989,0.4441986288470211,24,23
replicate_leak,frac_donor,task=IDC,150,0.14314206229830587,0.08055589055864508,3,2
replicate_leak,frac_donor,task=READ,150,-0.08206088410136668,0.3181272373443691,2,1
replicate_leak,random_minus_patient,pooled,300,0.38034067045189385,9.222963270974192e-12,24,23
replicate_leak,random_minus_patient,task=IDC,150,-0.09134805991377395,0.2662466277944734,3,2
replicate_leak,random_minus_patient,task=READ,150,0.84616205164674,2.7173469832914047e-42,2,1
novel_slide,random_minus_patient,pooled,450,0.06844840386043059,0.14714999982160729,24,23
novel_slide,random_minus_patient,task=COAD,150,-0.33191341837415,3.334385012378288e-05,4,3
novel_slide,random_minus_patient,task=PRAD,150,0.45004844659762655,7.557674649729373e-09,2,1
novel_slide,random_minus_patient,task=READ,150,0.673599715542913,3.5646044733059466e-21,2,1
